בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under a Threat of Extinction: Three cheetah cubs were born in Iran	yes
גם במקרה הזה, ההחלטה כפופה לאישור הממשלה, שתדון בנושא בימים הקרובים.	Also in this case, the decision is subject to government approval, which will be discussed in the coming days.	no
חשוב לציין שמעטים המקרים שבהם הממשלה לא מאשרת את המלצות משרד הבריאות בתחום זה.	It's important to note that there are few cases in which the government does not approve the Ministry of Health's recommendations in this regard.	no
התיירנים נגד ההגבלות.	Tourists against the restrictions.	no
התאחדות משרדי הנסיעות, המטה לשמיים פתוחים והתאחדות המלונות הגישו עתירה לבג"ץ כדי לבטל את ההגבלות על הטסים.	The Association of Travel Agencies, the Open Skies Headquarters, and the Hotels Association filed an appeal to the Supreme Court to lift the restrictions on flights.	no
המדינה הסירה את רוב ההגבלות אתמול, אך כאמור השאירה שמונה מדינות משמעותיות ברשימת המדינות האדומות.	The country removed most of the restrictions yesterday but, as mentioned, left eight significant countries on the list of red countries.	no
בדיון שיתקיים הבוקר בירושלים, צפויים העותרים לדרוש מהמדינה לבטל את רשימת המדינות האדומות.	In the discussion to be held this morning in Jerusalem, the appellants are expected to demand that the country cancel the list of red countries.	no
מי שיתמוך בעמדת העותרים הוא פרופ' איתמר גרוטו, שצפוי להיות נוכח בדיון.	Supporting the appellants' position is Professor Itamar Grutto, who is expected to be present at the hearing.	no
שר התיירות יואל רזבוזוב, שתמך בשבועות האחרונים בהקלות בכל מה שקשור להכנסת תיירים זרים לישראל, אמר אתמול: "ביטול הבידוד למחוסנים החוזרים מחו"ל וחזרת התיירות למחוסנים הם הדבר הנכון והצודק בתקופה זו.	Minister of Tourism Yoel Razvozov, who has supported easing restrictions on foreign tourists entering Israel in recent weeks, said yesterday: "The cancellation of quarantine for vaccinated individuals returning from abroad and the return of tourism for the vaccinated are the right and correct things to do at this time.	no
אני מודה לחבריי לממשלה, שהבינו את מצוקת תעשיית התיירות והסכימו איתי שהנזק עולה על התועלת.	I thank my government colleagues who understood the dire situation of the tourism industry and agreed with me that the damage outweighs the benefit.	no
החיסון הוא המענה הטוב ביותר למגיפה, וככזה - מגיע לציבור המחוסנים לנהל שגרת חיים מאפשרת לצד הקורונה".	The vaccine is the best response to the pandemic, and as such, it is up to the vaccinated public to live a life as normal as possible alongside the coronavirus".	no
בהשקעה של 200 מיליון שקלים: הריזורט החדש שייפתח בסמוך לערד	With an investment of 200 million shekels: The new resort that will open near Arad	yes
המדבר פורח: מלון יוקרה נוסף צפוי להיפתח בעוד כשלוש שנים •	The desert blooms: Another luxury hotel is expected to open in about three years •	yes
מסעדות שף, בריכות פרטיות ו-110 חדרים הם רק חלק קטן ממה שיציע המלון •	Chef restaurants, private pools and 110 rooms are just a small part of what the hotel will offer •	yes
כל הפרטים בכתבה	All the details in the article	yes
חברת 7MINDS מבית פתאל וחברת הנדל"ן בנייני העיר הלבנה, רכשו במשותף מגרש המשתרע על שטל של כ-20 דונמים במדבר יהודה, בו יקימו ריזורט מפואר בהשקעה של כ-200 מיליון שקלים. המלון יוקם על אותו השטח שבו היה בנוי מלון מצדה שנהרס לפני כשנה.	7MINDS, a subsidiary of Patael, and The White City Real Estate company acquired a 20-dunam plot of land in the Judean Desert, where they will build a luxurious resort with an investment of about NIS 200 million. The hotel will be built on the same area where a Masada hotel was built that was destroyed about a year ago.	no
הריזורט ייפתח רק בעוד כשלוש שנים ויהיו בו 110 חדרים כאשר בחלק מהם יהיו בריכות פרטיות.	The resort, set to open in about three years, will have 110 rooms, some with private pools.	yes
במלון יהיו גם שלוש בריכות משותפות, ספא, מסעדות שף, מתחם בילוי, חדר כושר ועוד.	It will also feature three communal pools, a spa, gourmet restaurants, a leisure complex, a fitness room, and more.	yes
מי שיהיה אחראי על הצד הקולינרי של המלון הוא השף רן שמואלי ממסעדת קלארו.	Chef Ran Shmueli from the Claro restaurant will be in charge of the resort's culinary side.	yes
שף שמואלי יהיה זה שייבנה את התפריט שצפוי להיות בעל קונספט מדברי ייחודי לריזורט.	Chef Shmueli will be the one to build the menu which is expected to have a desert concept unique to the resort.	yes
ראש עיריית ערד, עו"ד ניסן בן חמו, בירך על הפרויקט: "ההחלטה להקים מלון חדש ויוקרתי בסמוך לערד נותנת את החותמת הרשמית לנסיקה המדהימה שעשתה ערד בתחום התיירות בשנים האחרונות.	Mayor of Arad, Advocate Nissan Ben Hamu, welcomed the project: "The decision to establish a new and luxurious hotel near Arad officially seals the amazing transformation that Arad has undergone in the field of tourism in recent years.	yes
אני גאה בבחירה של היזמים ומשוכנע שתהיה זו הצלחה משותפת מאחר ולערד פוטנציאל תיירותי עצום".	I am proud of the entrepreneurs' choice, and I am convinced that it will be a joint success since Arad has enormous tourism potential."	no
אל על מציגה: טיסות לכל אירופה החל מ-78 דולר	El Al presents: Flights to all of Europe starting at $78	yes
השמיים נפתחים וחברות התעופה יוצאות במבצעים שלא נראו הרבה זמן •	The skies are opening and the airlines are coming out with promotions that have not been seen for a long time •	yes
ברצלונה, מדריד, פראג, בודפשט, ברלין, אמסטרדם ויעדים נוספים בפחות ב-100 דולר לטיסות הלוך וחזור	Barcelona, Madrid, Prague, Budapest, Berlin, Amsterdam and other destinations for less than $100 for round-trip flights	yes
.	.	no
חברת התעופה הגדולה בישראל מדווחת על עלייה בביקושים לטיסות לחו"ל מאז ההודעה אתמול על ההקלות המשמעותיות לטסים.	The largest Israeli airline El Al reports an increase in demand for international flights since the announcement of significant easing of restrictions for travelers.	yes
בחברה החליטו לפרסם הבוקר מבצע מיוחד לרגל פתיחת השמיים והמחירים שהיא מציעה נחשבים לאטרקטיביים במיוחד.	The company has decided to launch a special promotion in light of the opening of the skies, offering attractive prices.	yes
במסגרת המבצע החדש, מציעה החברה טיסות לברלין, בודפשט, ברצלונה, מדריד, פראג, אתונה, אמסטרדם, ליסבון ויעדים נוספים במחירים שמתחילים מכ-60 דולרים לטיסות הלוך וחזור.	As part of the new promotion, the company offers flights to Berlin, Budapest, Barcelona, Madrid, Prague, Athens, Amsterdam, Lisbon, and other destinations, with prices starting at $60 for round-trip flights.	yes
בעקבות ההקלה על הטסים, באל על מחזירים את הטיסות לשורה של יעדים וביניהם גם קנדה, איטליה, גרמניה, הונגריה, בלגיה ומדינות נוספות.	Following the facilitation of flights, El Al is resuming flights to a line of destinations, including Canada, Italy, Germany, Hungary, Belgium, and other countries.	yes
חשוב לזכור שמדובר במספר מוגבל של כרטיסים (כ-4,000) והמחיר לא כולל כבודה ובחירת מושב.	It's important to note that this offer has limited availability (approximately 4,000 tickets) and does not include baggage and seat selection.	yes
המבצע תקף להזמנות שיבוצעו היום ומחר ולטיסות שימריאו עד 31 בינואר 2022.	The promotion is valid for bookings made today and tomorrow for flights scheduled until January 31, 2022.	yes
החל מהלילה בחצות, יוסרו צרפת, ספרד, פורטוגל ומדינות נוספות מרשימת המדינות האדומות.	Starting at midnight, France, Spain, Portugal, and several other countries will be removed from the list of red countries.	no
ארה"ב, איחוד האמירויות, טורקיה ועוד חמש מדינות עדיין נמצאות ברשימת המדינות האדומות וישנו איסור לטוס אליהן בלי אישור של ועדת חריגים.	The United States, the United Arab Emirates, Turkey, and five other countries are still on the red countries list, with a ban on flying to them without approval from the Exceptions Committee.	no
כמעט לכל אדם בימינו, יש טאבלט או סמארטפון "ישן" ששוכב בארון חסר שימוש.	Almost every person today has an "old" tablet or smartphone lying unused in a drawer.	yes
רק מכיוון שיצא דגם קצת יותר חדש ומשוכלל, כל מכשיר יכול להיות במקום נגן ספוטיפיי בחיבור הוטספוט.	Only for the release of a slightly newer and more advanced model, any device can become a Spotify player through a hotspot connection.	yes
מכשירים ישנים יכולים להיות מצלמות דרך, שלט-רחוק לתפעול מכשירים בבית ועוד המון שימושים.	Old devices can serve as car cameras, remote controls for home appliances, and many more.	yes
לא חייבים להיות קרבנות של תרבות הצריכה ולא חייבים להיות תמיד בחזית הטכנולוגיה, עם עוד גאדג'ט חסר תועלת אמיתית.	You don't have to be victims of consumer culture, and you don't always have to be at the forefront of technology with another gadget that lacks real utility.	yes
אוסף נתונים בלי ניתוח.	Collection of data without analysis.	yes
חבל	It's a shame	yes
היה יותר מעניין לשמוע כמה אנשים קיבלו קיצבאות בדואר ישראל, כמה שווה הנדל״ן של הסניפים (הממוקמים במרכזי הערים המובקשים), וכמה השכר של העובדים (מינימום).	It would have been more interesting to hear how many people received royalties via the Israel Post, how much the rental cost of the branches is (located in sought-after city centers), and how much the employees' salaries are (minimum).	yes
אסור להפריט את דואר ישראל	It's forbidden to privatize Israel Post	yes
השאלה זאת כמה חבילות הגיעו וכמה חולקו?	The question is how many packages have arrived and how many have been distributed?	yes
כי כמה העלמים להם	Because some of them disappear	yes
מזמינים חבילות, והן נעלמות במרכז המיון במודיעין...	People order packages, and they disappear at the sorting center in Modi'in...	yes
צריך להיות מס חבילה 5 שח שלא יזמינו סתם שטויות בשקל ויעמיסו על הדואר	There should be a package fee of 5 shekels so that people won't order random stuff for a shekel and burden the postal service	yes
זה בעיקר מעיד על יוקר המחייה בארץ.	It mainly reflects the cost of living in the country.	yes
תודה למלך פאקים שגרם לזה שעדיף לקנות הכל מסין.	Thanks to the fucking king who caused it to be better to buy everything from China.	yes
אנחנו משק בית ומשתדלים לא להתקרב לדואר ומקווים שלא יגיעו מהם מכתבים והשנאה לדואר הובילה אותנו לוותר על כל דבר שייך לאפשרות של דואר.	We're a household and try to avoid going near the post office, hoping not to receive any letters from them, and our hatred for the postal service has led us to give up on anything related to post.	no
שבוע טוב.	A good week.	no
לפטר את כל עובדי הדואר , ולהתחיל להקים את הדואר מחדש - על ידי חברה פרטית.	To dismiss all postal workers and start the postal service from scratch - by a private company.	no
מעסיקים מתנשאים וחלקם גזענים!	Arrogant employers and some of them are racists!	yes
בטלפון מדברים אחרת וכשמגיעים לראיון מתגלה פרצופם האמיתי.	Arrogant employers and some of them are racists!	yes
לא פלא שלא מוצאים עובדים.	No wonder they can't find employees.	yes
הם מחפשים עבדים.	They are looking for slaves.	yes
משרות של עבדים	Job positions for slaves.	yes
כולם מוזמנים להכיר יהדות אמתית	Everyone is welcome to learn about true Judaism.	yes
כל הכבוד	Well done!	yes
אשריך שזכית	You are blessed because of your privilege	yes
מי שיעמוד בנסיונות ונמצא בקדושה יראה רק אור כל חייו	He who withstands trials and preserves his holiness will see only light throughout his life.	yes
פשוט מקסים	Simply charming	yes
איזה קשקוש.	What a nonsense.	yes
שום תוניסאי לא נאלץ להסתיר את הזהות היהודית שלו.	No Tunisian Jew is forced to hide his Jewish identity.	yes
מבחינה היסטורית זה לא נכון.	From a historical perspective, that's not truth.	yes
קוף שעיר ומכוער שהורד מעץ אהאווווווואה.	A wild and ugly monkey that descended from a tree ahaaaua.	yes
פסולת מחירייה	Garbage from Hiria	yes
כתבה יפה מאוד אח יקר	A very beautiful article, dear brother	no
קובי הלוואי ורבים היו כמוך	Kobi, I wish many were like you	no
אוהבת אותך	I love you	no
אח שלי היקר🔥💪❤️	My dear brother🔥💪❤️	no
אין אנשים כמוך 😍	No one is like you 😍	no
מלך.	A king.	no
זה אדם שרואה איזו מדינה מדהימה יש לנו.	He's a person who sees what an amazing country we have.	no
בעיות תמיד יהיו.	There will always be problems.	no
זה החיים.	This is life.	no
אחלה קובי!!!	Well done Kobi!!!	no
דמות מעוררת הערכה !!	A figure worthy of respect!!	no
תצליח בכל מה שתעשה!!!	I wish you to succeed in everything you do!!!	no
כל הכבוד שאתה על דרך המלך ♥	All the respect to you, for being on the main way ♥	no
אין כמו לשמור שבת.	There's nothing like observing the Sabbath.	no
יותר משאנחנו שומרים את השבת, השבת שומרת עלינו	More than we observe the Sabbath, the Sabbath guards us.	no
כתבו בגוגל: שמירת שבת או הלכות שבת	Write in Google: Observing the Sabbath or the laws of the Sabbath.	no
ותלמדו איך לשמור את השבת, בהצלחה לכולם♥	And learn how to observe the Sabbath, good luck to everyone ♥	no
איש מדהים וצנוע מאוד!	An amazing and very humble person!	no
מאחלת לו את כל ההצלחה שבעולם ושימשיך להיות קסם כמו שהוא ומוכשר ברמות.	I wish him all the success in the world, and may he continue to be as charming and super-talented as he is.	no
שאפו - קובי שמעוני הגדול - הידוע גם כסאבלימינל.	Hats off to the great Kobi Shimoni, also known as Subliminal.	no
כל הכבוד לך - בשיא הרצינות.	Thank you very much - at the height of seriousness.	no
מפליא שהיא עדיין מקבלת הצעות עבודה, במקצוע שלה זה לא מובן מאליו...	It's amazing that she's still getting job offers, in her profession it's not something to be taken for granted...	yes
אין כמו ללכת בדרך המלך♥	Indeed, there's nothing like walking on the main road♥	yes
משפחה מדהימה♥	A wonderful family♥	yes
לפני כמה שנים היה לי חלום לשלשל לאסתי זקהיים הפרה על הראש בוראס האדמוני שלה.	A few years ago I had a dream to chain on Esti Zakheim the cow on her head with her red boras.	yes
יפייפיה ומוכשרת!!	Beautiful and talented!	yes
איך זכית בשומר שבת	How did you win a "Shomer Shabbat" person	yes
איש שכולו לרעייתו וילדיו.	A person devoted to their spouse and children.	yes
מוכשרת בטירוף.	Extremely talented.	yes
מחכה בצפייה רבה להופעות שלה	Looking forward to her performances with great anticipation.	yes
שלמות :-))	Perfection! :-))	yes
אלופת עולם את !	World champion you are!	yes
מוכשרת מדהימה ענבל בהצלחה	Talented and amazing Inbal, good luck	yes
מהממת שאת!!! :-)	You're gorgeous, that's you!!! :-)	yes
מזל טוב	Mazal tov!	yes
כל הכבוד!!!!!	Well done!!!	yes
האהבה ניצחה!!!!	Love won!!!!	yes
מזל טוב!!!!	Mazal tov!!!	yes
לא לדואג זה לא להרבה זמן.	Don’t worry, It won’t last long.	yes
כרגע אין בה תועלת	At the moment, there's no benefit in it	yes
איך יודעים שזה אהבת אמת ...	How do you know it's true love ...	yes
חזרו אחד לשני אחרי 20 שנה!!	They reunited after 20 years!!	yes
והיא עוד מבוגרת ממנו	And she is older than him	yes
והוא חתיך עשיר ומפורסםיים	And he is handsome, rich, and famous	yes
ובעוד כמה חודשים דיווח על הפרדת כוחות.	And in a few months, there will be reports of a breakup.	no
ישנן נשים שיכולות לקום כל בוקר עם בעל חדש.	There are women who can wake up every morning with a new husband.	no
חבל שלא השתתף באירוויזיון	It's a shame he didn't participate in Eurovision	yes
נקווה שאולי בשנה הבאה ישתתף בשיר מקורי שלו	Let's hope that maybe next year he will participate with his original song	yes
שם תבוא הפריצה הגדולה	There will take place the big breakthrough	yes
במקום המתרומם האגואיסט מהסופר שהביאו ורק בושות עשה	Instead of the arrogant egotist from the supermarket they brought, and he only made a disgrace	yes
מאיפה גרינברג התימוני הזה חחחחח!	Where did this confused Greenberg come from? Hahaha!	yes
מי זה?!	Who is he?!	yes
למה הוא מופיע באתר חדשות??	Why is he appearing on a news website??	yes
פה זה לא גיא פינס ולא הצiאתון של נונסנס מוזס	Here, it's not the Guy Pinnes program, and it's not the garbage site of Nonsense Moses	yes
מריח כמו יח"צ משומן ומוזמן במסווה כתבה של כל2בתב חצר בשקל שמסתתר מאחורי שם מערכת העיתון.	He smears it like tricky inviteded PR under the guise of an article by a flatterer reporter-for-a-penny, hiding behind the newspaper's head office name.	yes
הבדיחה על חשבוננו הקוראים, הקהל השבוי שנמלט מציפורני מוזס הארסי ומחפש אלטרנטיבה	The joke is on us the readers, the captive audience, those who escape from the poisoned Moses  and are looking for an alternative	yes
השיר לא לטעמי וגם הקליפ סתמי	The song isn't to my taste, and the video is also random	no
מקסים מקסים מקסים	Lovely, lovely, lovely	no
כמה כישרון!!!!	What a talent!!!	no
רוצים ממנו עוד ועוד	We want more and more from him	no
תמיר גרינברג זמר גדול ברמה של כוכב בינלאומי.	Tamir Greenberg is a great singer on the level of an international star.	no
מדינת ישראל קטנה עליו.	The State of Israel is small for him.	no
הוא עוד יפרוץ לחו"ל בגדול.	He will break through abroad in a big way.	no
אופטומטריסטית קלינית?!	A clinical Optometrist?!	yes
נו באמת ה"תואר" שלה לא תופס בארץ המוצא....	Oh Really, her 'degree' isn't recognized in her home country...	yes
מי המגזר הבא בתור?	Who's the next sector in line?	yes
ביביסטים?	Bibists?	yes
ומיפוי קרנית העיקר לא הזכירו.	And mapping of the corneal wasn't mentioned at all.	yes
אלק אופטומטריסטית קלינית.	Clinical Optometrist, wow.	yes
קלינית מטעם עצמה.	She's a clinical psychologist on behalf of herself only.	yes
איפה יהיו סירנות?	Where will the sirens be?	yes
מלחמה בפתח מכינים אותנו	War is looming, they are preparing us	yes
ומה יעשו הלומי הקרב איזו אכזריות	And what will the Battle shocked do, what a cruelty	yes
בנט לפיד וגנץ בהנחית ביידן: תתכוננו חברים תתכוננו....	Bennett Lapid and Gantz at the behest of Biden: Get ready, friends, get ready...	yes
כי הם אלופי האלופים!!	Because they are the champions of champions!!	yes
חחחחחח אבל אל דאגה, גם כשמנהלים דפוקים וטיפשים חמורי גרם, יש לנו יכולות מעל ומעבר למצופה!!	Hahaha, don't worry, even when managed by incompetent and extremely foolish leaders, we have capabilities beyond expectations!!	yes
נכון, וחוץ מזה הממדי''ם שלנו כמו רובם דפוקים.	True, and besides, our shelters are mostly screwed up.	yes
פיקוד העורף משחק במשחקי "כאילו", כי בזמן אמן - שלא נדע...	The Home Front Command is playing 'as if' games because in real-time - we better won't know...	yes
למה רק בת"א	Why only on Tel Aviv	yes
כל השאר בררה ימנים.	All the rest are right-wingers garbage.	yes
חרף הדיבורים היפים - לא שמענו על מעצרם של חאקרים, הענדתם לדין מיצויי דין איתם	Despite the nice words, we haven't heard about the arrest of the hackers, their prosecution, and the judicial process against them	yes
ובארבע מערכות הבחירות האחרונות וועדת הבחירות כן היתה ערוכה למתקפה?	In the four previous election campaigns, was the Election Committee prepared for a cyberattack?	yes
למה לא לפרט למשל...	Why not specify, for example...	yes
כמה נסיונות חדירה ושיבוש נעשו וכמה הצליחו לחדור לתוך וועדת הבחירות ב 3 השנים האחרונות.	How many infiltration and disruption attempts were made, and how many succeeded in infiltrating the Elections Committee in the last three years.	yes
לא מגיע לנו קצת נתונים, עובדות ופרופורציה?	Isn't it due for us to get some data, facts, and proportionality?	yes
אחת ההחתמות היותר הזויות של הפועל ירושלים.	One of the more unusual signings for Hapoel Jerusalem.	yes
בהצלחה עוז.	Good luck, Oz.	yes
תמיד תהיה חלק מהשושלת של מכבי...	You will always be part of the Maccabi dynasty...	yes
תודה מכל הלב!	Thank you from the bottom of my heart!	yes
רואי שחורות כולכם, רק טענות ומענות, בטטות כורסא קלסיות.	Seeing black all of you, just accusations and responses, classic armchair quarterbacks.	yes
בולדווין פיגוע חברתי בחדר ההלבשה, כך אומרים שחקנים ששיחקו איתו גם ביוון וגם בספרד!	Baldwin is a social bomb in the locker room, that's what players who played with him in both Greece and Spain say!	yes
הולינס נפצע ולא שיחק במשחקים האחרונים של הכוכב האדום...	Hollins got injured and didn't play in the last games of the red star...	yes
גם היליארד נפצע ולא שיחק חצי שנה אחרונה...	Hilliard also got injured and hasn't played for the past six months...	yes
הימורים כבדים.	Heavy bets.	yes
חסר למכבי כוכב	Maccabi lacks a star	yes
על מה באמת עם בראון	What's really going on with Brown	yes
אם לא יחתום מכבי עלולה להיות בבעייה	If Maccabi doesn't sign him, there could be a problem	yes
מה עם לורנזו בראון?	What about Lorenzo Brown?	yes
חחחחחח איך מתאים כמו כפפה ליד לוזר לקבוצה של......	Hahaha, how fitting, like a glove to a hand, a loser to the team of...	yes
אדם אחלה שחקן המאמן חייב לתת לו יותר דקות לא לוותר עליו הפועל צריכה סגל גדול אסור אסור לוותר עליו	Adam is a great player, the coach needs to give him more minutes and not to give up on him, Hapoel must have a large squad, it's forbidden to give up on him	yes
לא.	No.	yes
להביא את אנדריאן בנקס.	To bring in Adrian Banks.	yes
צריך עוד ישראלים חזקים בסגל.	We need more strong Israelis in the squad.	yes
כאלה שממש משחקים	Ones who really play	yes
הרבה יותר מתאים מווילבקין למכבי שנבנת.	Much more suitable Maccabi that being built than Wilbekin.	yes
רואים שיש אנשי מקצוע במכבי- בלאט וקטש.	You can see there are professionals at Maccabi - Blatt and Katsch.	yes
אולי יכולות אישיות עדיין לר משתווה לסקוטי אך שחקן קבוצתי ,ובעיקר אינטלגנציית משחק גבוהים בהרבה	Perhaps individual skills still don't compare to Scottie, but he's a team player, and especially has a much higher basketball IQ	yes
כל כך עצוב שמכבי תל אביב מסתמכת על זרים והישראלים מחממים את הספסל	It's really sad that Maccabi Tel Aviv relies on foreigners, while the Israelis warm the bench	yes
דרך אגב מכבי נוסדה עבור ספורטאים יהודים ולא אוסף של זרים ולכן לא יצליחו עם כל הכוכבים שגרדו מרחבי העולם	By the way, Maccabi was founded for Jewish athletes and not as a collection of foreigners, so they won't succeed with all the stars they bring in from around the world	yes
את מי זה מעניין???	Who cares about them anyway???	yes
אם כבר צופים במשחק שבו 6 שחקנים אמריקאים ו- 3 ישראלים לקישוט, לא עדיף לצפות במשחק של גולדן סטייט????	If you're already watching a game where 6 American players and 3 Israelis are just for show, isn't it better to watch a Golden State game instead???	yes
פאזל עד שיתחבר תגמר הליגה	It’s a puzzle, until it be solved - the league will end	yes
שיהיה בהצלחה	Good luck with that	no
טור טוב.	Good column.	yes
אהבתי.	I liked.	yes
לגבי הישראלים, הוא צודק לגמרי!!	Regarding Israelis, he is completely right!!	yes
והערה לגבי זיו - ראינו בעונה שעברה שמדובר בשחקן טוב שיכול גם להנהיג קבוצה.	And a note about Ziv - we saw in the past season that he is a good player who can also lead a team.	yes
אז ביורוליג הוא לא יכול להיות מנהיג, אבל הירידה ביכולת שלו גם בליגה מצביעה על כך שהוא איבד את הביטחון (וזה לא פלא אחרי היחס שקיבל אחרי 2 משחקים לא טובים ביורוליג, כאילו שלזרים לא היו משחקים כאלה) והשימוש בו אולי גם לא נכון, והוא תוצאה של הקיבעונות והשבלונות של המאמן.	So, in the Europa League he can't be a leader, but his drop in performance even in the league indicates that he has lost confidence (and it's not surprising after the treatment he received after 2 not-so-good games in the Europa League, as if the others never had such games), and maybe using him is also not right, and it's a result of the coach's rigidity and templates.	yes
בלייזר לא קלעי עם כל הכבוד…	Blaser doesn't shoot well, with all due respect...	yes
יפתח זיו לא צריך להיות במכבי תל אביב הוא מחרב אותה מידי	Yiftach Ziv shouldn't be in Maccabi Tel Aviv, he ruins it too much	yes
פעם יש לא משחק טוב אבל סורקין ובלייזר דודי וגם כהן היום כל הכבוד.	Sometimes he has a good game, but Surkin and Blazer Dudi and also Cohen today, well done.	yes
עידו אשד בטלן אוהד חולון שנתנו לו 500 שח אז הוא כותב שטויות.	Ido Eshed is a looser who received 500 shekels, so he writes nonsense.	yes
בתמונה לא פדרמן.	In the picture it’s not Federman.	yes
בלייזר,סורקין וגק כהן הרבה יותר טובים מקוליארו וטיילור שבאירופה משחקים כעשרים דקות ולא מסוגלים לקלוע סל, מי צריך זרים ברמת כלום ושום דבר,הרבה יותר עדיף שישחקו הישראלים.	Blazer, Surkin, and Jack Cohen are much better than Colliaro and Taylor, who in Europe play for twenty minutes and can't make a basket, who needs foreigners with zero level, It's much better to let the Israelis to play.	no
טוב שיש רוח טובה לכולם מאמן שחקנים והנהלה במשכת הממונטום	It's good that there's a positive atmosphere for everyone, the coach, players and management, in maintaining the momentum.	yes
תלוי בהגברת הגיבוד הפנימי...	Depends on strengthening internal reinforcement...	yes
וחיזוק משמעתי ונדרש של רכז וגארד	And a required and disciplined reinforcement by a coordinator and guard...	yes
וזה החלק של ההנהלה.	And this is the part of the management.	yes
לא נכון.	Not true.	yes
האינטראקציה האנושית הבלתי אמצעית חשובה מהרבה מאוד היבטים.	Non-mediated human interaction is incredibly important across many aspects.	yes
התשובה למחקר הזה היא שבידוד חברתי הוא דבר רע גם מההיבט המקצועי והאמת, מה שמפתיע ומאכזב כאן הוא ההפתעה.	The answer to this research is that social isolation is harmful even from a professional and truthful perspective, and what surprises and disappoints here is the unexpected outcome.	yes
אז תכבו את המצלמה בזום ונפתרה הבעיה.	So, turn off the camera on Zoom, and the problem is solved.	yes
מה קרה, החוקרים השתמשו בזום ולכן היצירתיות שלהם לא הספיקה לפתרון הזה?	What happened, did the researchers use Zoom, and therefore their creativity wasn't enough to solve this issue?	yes
איך יודעים מה יהיה עוד 30 שנה	How can we know what will happen in another 30 years	yes
מישהו פה פספס פרט חשוב	Somebody here missed an important detail	yes
את המדענים לא מעניין התחממות ולא מי גשמים	The scientists are not interested in global warming or rainfall	yes
אותם מעניין רק קצב גידול האוכלוסיה	They are only interested in the rate of population growth	yes
הם עובדים על עוד ועוד חיסונים ושיטות ממזריות להשמיד את אוכלוסיית העולם אז הם מספרים לנו סיפורי פוגי על התחממות ועוד שטויות שהם ממציאים	They are working on more and more vaccines and covert methods to destroy the world's population, so they tell us fake stories about global warming and other nonsense they invent	yes
אין שום בעייה להתפיל מים, בכמויות ללא הגבלה	There is no problem with water desalination, in unlimited quantities	yes
אמרו את זה לפני 50 שנה.	It was said 50 years ago.	yes
בינתיים יש יותר אנשים.	In the meantime, there are more people.	yes
הפתרון הוא הגבלת ילודה, בעיקר במקומות עניים ובמקרה של הבבונים של ביבי, שאר השמאלנים אנטי המדינות שלהם, ובכל הדתות שמאמינות באלים - אצל הטפשים, הבורים, הכסילים, העיוורים, או בקיצור - אצל העדרים	The solution is limiting birth rates, especially in impoverished areas, and in the case of Bibi's Baboons, the other anti-state leftists, and all religions that believe in gods - among the ignorant, the fools, the imbeciles, the blind, or simply put - among the herds	yes
יש צורך דחוף להפחית את אוכלוסיית העולם.	There's an urgent need to reduce the world's population.	yes
יצורים חיים (גם ססמולנים) צורכים חמצן ופולטים פחמן דו"ח.	Living organisms (including left-side humans) consume oxygen and emit carbon dioxide.	no
הפתרון: ססמולנים, תתאבדו!	The solution is: Leftists, kill yourself!	no
זה ירוק.	It’s green.	no
טוב לעולם.	Good for the world.	no
יהי לכם טוב יותר, ובטוח שכדור הארץ ולכולנו.	It will be better for you, and for sure the earth and for all of us.	no
מי הם המדענים ואיך ביצעו את המחקר	Who are the scientists and how did they conduct the research	no
אני לא מאמין לכל מחקר שמדבר על התחממות האקלים כי הדבר הזה לא קיים	I don't believe in every research that talks about climate change because I don't think it exists	no
הוא מגמתי כדי לשלוט בנו לגזול את חרותנו והחופש שלנו.	It is designed to control us and rob us of our freedom and liberty.	no
הכל חלק מהסדר העולמי החדש.	It's all part of the New World Order.	no
וכתבים כמו אסף גולן נמצאים בצד שלהם כמו שעשה בזמן הקורונה.	Writers like Asaf Golan are on their side, just like they were during the time of the coronavirus.	no
מעולם לא שמעתי ממנו הצגה של עובדות משני הצדדים תמיד הוא מביא את הצד שמשרת את הגלובליסטים.	I've never heard him present facts from both sides; he always brings forward the side that serves the globalists.	no
מבנטטים אותנו.	They ‘Bennet’ us.	no
סתם שורפים כסף על "מחקרי" חרטוט "אקדמיים.	They're just burning money on "academic" rubbish research.	no
כרגיל, עוד חירטוט מארץ החירטוטים של הססמולנים הפסיכופאטיים.	As usual, more rubbish from the land of delusions of the psychopathic left-wing.	no
המצב דווקא משתפר. הידע האנושי מתרחב ואתו טכנולוגיות חדשות ושיפורים.	Actually, the situation is improving. Human knowledge is expanding, along with new technologies and improvements.	no
כבר מאות שנים שאוכלוסיית העולם גדלה בהתמדה בקצב אקספוננציאלי, והמצב רק משתפר.	For hundreds of years, the world population has been steadily growing at an exponential rate, and the situation is only getting better.	no
הסינים, למשל, פתחו בפרוייקט ענק של מלחמה במידבר של גובי, בהצלחה מדהימה.	For example, the Chinese have embarked on a massive project of desert warfare in Gobi with astonishing success.	no
הסעודים עושים אותו הדבר ומצליחים גם הם (עם ידע ישראלי, אגב).	The Saudis are doing the same thing and succeeding as well (with Israeli knowledge, by the way).	no
