בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three bridal puppies born in Iran	yes
כתוצאה מכך, חלה על חברות וארגונים החובה לעדכן את מערכותיהם ולערוך סקרי סיכונים ומבדקי חדירות, כדי לבחון את הסיכונים המשתנים ולהיערך להם.	As a result, companies and organizations are required to update their systems and conduct risk assessments and penetration tests, to examine and assess the changing risks.	yes
כמו כן, חלה חובה על חברות וארגונים להשתמש במנגנון תיעוד אוטומטי ויש לערוך הדרכות לעובדים, בהתאם להוראות תקנות הגנת הפרטיות (אבטחת מידע).	Companies and organisations are also required to use an automatic recording mechanism and training is required for employees, in accordance with the provisions of the Privacy (Information Security) Regulations.	no
בהתאם לממצאי הפיקוח קבעה הרשות כי החברה הפרה את הוראות חוק הגנת הפרטיות ותקנותיו וכן דרשה מהחברה לבצע מספר פעולות מתקנות.	In accordance with the findings of the Supervision, the Authority determined that the company had violated the provisions of the Privacy Act and its regulations and required the company to take a number of corrective actions.	no
מחברת דרך ארץ, מפעילת כביש 6 נמסר: "הנושא טופל בהתאם לדרישות המחמירות ביותר"	"The matter has been handled according to the strictest requirements".	no
אזהרת המסע לאיסטנבול: בשורה מפתיעה לישראלים מחברות התעופה הטורקיות	Flight Alert for Istanbul: Surprising news for Israelis from Turkish airlines	yes
חברות טורקיש איירליינס ופגסוס יאפשרו לישראלים להחליף יעד או מועד לטיסה שברשותם	Turkish Airlines and Pegasus will allow Israelis to change the destination or time of their flight.	yes
בשורה לישראלים שהזמינו כרטיסים לטורקיה לפני אזהרת המסע: חברות התעופה יאפשרו להחליף את מועדי הטיסה.	Good news for Israelis who booked tickets to Turkey before the travel warning: Airlines will allow them to change their flight times.	yes
תזכורת: מוקדם יותר השבוע המטה ללוחמה בטרור העלה לדרגה ארבע את חומרת אזהרת המסע לאיסטנבול.	Earlier this week, counterterrorism raised the severity of the travel alert for Istanbul to four.	yes
זוהי הרמה הגבוהה ביותר ומשמעותה "רמת איום גבוהה: אין להגיע למדינה זו ובמקרה של שהייה יש לעזוב את המדינה בהקדם".	This is the highest level and means "high threat level: do not enter this country and if you stay, leave the country as soon as possible".	yes
טורקיש איירליינס ופגסוס מסרו כי הן יאפשרו לישראלים שהזמינו את טיסתם לפני צאת אזהרת המסע, כלומר לפני התאריך 13.6.22, להחליף את יעד או מועד הטיסה שברשותם.	Turkish Airlines and Pegasus have said that they will allow Israelis who booked their flight before the travel warning went out, i.e. before 13.6.22, to change the destination or the date of their flight.	yes
זאת באמצאות פנייה לחברת התעופה.	It's a redirect to the airline.	yes
שר התיירות רזבוזוב אמר: "אזרחי ישראל לא צריכים לשלם מחיר כלכלי בגלל איומי טרור.	Tourism Minister Rezabozov said: "Israeli citizens should not have to pay an economic price for terrorist threats.	yes
אני שמח שחברות תעופה גדולות כמו טורקיש אירליינס ופגסוס נענו לבקשתנו ואני מקווה שחברות נוספות יתנו מענה דומה לכל אזרחי ישראל שביטלו את החופשה בטורקיה בגלל אזהרת המסע החמורה".	I am glad that big airlines like Turkish Airlines and Pegasus have responded to our request and I hope that other airlines will give a similar response to all Israeli citizens who cancelled holidays in Turkey because of the severe travel warning".	yes
מתלבטים לאן לטוס בקיץ?	Deciding where to fly this summer?	yes
נטפליקס תציע סיורים בחינם באירופה בעקבות סדרות אהובות	Netflix will offer free tours of Europe following beloved series	yes
המטבעה המלכותית מ"בית הנייר", ארמון בקינגהאם מ"הכתר", או בכלל תעלת סן מרטין מ"אמילי בפריז" - ערי אירופה יחכו לכם •	The Royal Mint from House of Paper, Buckingham Palace from The Crown, or even the St. Martin's Canal from Emily in Paris - European cities await you	yes
סיורים חינמיים בלוקיישנים של הסדרות הפופולריות ביותר של שירות הסטרימינג.	Free guided tours of the streaming service's most popular series.	yes
מחפשים חופשה לא שגרתית לקיץ הקרוב?	Looking for an unusual vacation this coming summer?	yes
ובכן, מה דעתכם לצאת לסיורים חינמיים בעקבות גיבורי הסדרות האהובות של נטפליקס?	Well, how about going on a free guided tour of some of your favorite Netflix shows?	yes
כן, החברה החליטה לצאת מהמסך אל הרחוב, ולהציע לכם סיורים חינמיים בלונדון, פריז ומדריד בעקבות הסדרות האהובות.	Yeah, the company has decided to go out on the street and offer you free tours of London, Paris and Madrid following your favorite television shows.	yes
בפריז תוכלו לסייר בעקבות גיבורת הסדרה "אמילי בפריז", או בעקבות גיבורי הסדרה "לופן"; בלונדון תלכו יד ביד עם גיבורי וגיבורות הסדרות "הכתר" ו"ברידג'רטון"; ובמדריד תצאו בעקבות גיבורי "בית הנייר" ו"אליטה".	In Paris, you can follow the heroine of "Emily in Paris", or follow the heroes of "Loupein"; in London, you'll follow in the footsteps of the heroes of "The Crown" and "Bridgerton"; and in Madrid, you'll follow the heroes of "House of Cards" and "Elite".	yes
הסיורים המוצעים יתרחשו בין 11 ל-17 ביולי בלונדון, בפריז ובמדריד, ויועברו על ידי מדריכים מקומיים בשיתוף חברת הסיורים SANDEMANs, בשפה האנגלית.	The tours will take place between 11 and 17 July in London, Paris and Madrid, and will be led by local guides in partnership with the tour company SANDEMANs, in English.	yes
אז אם אתם בעניין ויש לכם "קראש" על אחת הסדרות האלו - ולרבים יש - תוכלו כעת ללכת באתרים ההיסטוריים ובערים האירופיות המיוחדות האלו, ולא תצטרכו ללכת לאיבוד או להתמצא לבד באתרים השונים.	So if you're into it and have a crush on one of these series -- and a lot of people do -- you can now go to these unique European sites, and you don't have to get lost or find yourself alone in the different sites.	yes
כל מה שצריך זה להגיע בתאריכים האלו, עם ידע בסיסי באנגלית, ולצעוד עם המדריכים.	All you have to do is show up on those dates with a basic knowledge of English and walk with the guides.	no
לפרטים נוספים על הסיורים, וכן לכלל הסדרות של החברה שרצות כיום, ניתן להיכנס אל הלינק הבא: https://netflix.neweuropetours.eu/	For more information about the tours, as well as all the company's current series, please go to the following link: https://netflix.neweuropetours.eu/	no
שמי סעודיה מתקרבים: החברות הישראליות מתכוננות לתגבר קווים למזרח	Saudi skies are approaching: Israeli companies are preparing to reinforce lines to the east	yes
הסיכום המתגבש לחופש טיסה מורחב מעל סעודיה: חברת התעופה נערכת להשקת טיסות חדשות למזרח הרחוק על חשבון יעדים באירופה	Summary of expanded freedom of flight over Saudi Arabia: The airline is set to launch new flights to the Far East at the expense of European destinations	yes
בחברת התעופה הגדולה בישראל מתכננים שינויים משמעותיים לקראת הגעת נשיא ארה"ב ג'ו ביידן לישראל.	Israel's largest airline is planning major changes ahead of U.S. President Joe Biden's arrival in Israel.	yes
כפי שפרסמנו ב"ישראל היום", ההערכה היא שביידן יכריז על מתן אישור לאל על ולכל חברות התעופה הישראליות לטוס מעל סעודיה ליעדים נוספים מלבד איחוד האמירויות.	As we reported in Israel Today, the estimate is that Biden will announce the approval of Al Ali and all Israeli airlines to fly over Saudi Arabia to destinations other than the UAE.	yes
המשמעות של ההסכם המתגבש היא שאל על תוכל לטוס בנתיבים קצרים יותר ליעדי המזרח הרחוק ולאוסטרליה.	The impending agreement means you'll be able to fly on shorter routes to destinations in the Far East and Australia.	yes
לשם כך, החברה תצטרך לבטל טיסות ליעדים פחות רווחיים, וזאת כדי לפנות מטוסים לטובת יעדים חדשים.	To do that, the company would have to cancel flights to less profitable destinations in order to divert planes to new destinations.	yes
היעדים שהטיסות אליהם יבוטלו החל מחודש נובמבר הקרוב הם ורשה, טורונטו ובריסל.	The destinations to which flights will be canceled starting this November are Warsaw, Toronto and Brussels.	yes
מדובר בשלושה יעדים שבהם יש אוכלוסייה יהודית לא קטנה, אך בשלב זה הם פחות רווחיים לחברה.	These are three destinations that have a sizeable Jewish population, but at this point are less profitable for society.	yes
לעומת זאת, היעדים החדשים שבוחנים באל על הם טוקיו שביפן, הונג קונג, אוסטרליה ומקומות נוספים במזרח הרחוק.	By contrast, the new destinations being explored in Bali are Tokyo in Japan, Hong Kong, Australia and other places in the Far East.	yes
כך המהלך יתבצע: מטוסי הדרימליינר שטסים לקנדה ישוחררו לטובת טיסות ארוכות למזרח.	What's to be done: Dreamliners flying to Canada will be released for long-haul flights to the east.	yes
מטוסי הבואינג 737 שטסים לוורשה ולבריסל יועברו לשימוש לטיסות ליעדים כמו לונדון ופריז, שאליהם מפעילה אל על טיסות באמצעות מטוסי הדרימליינר.	Boeing 737s flying to Warsaw and Brussels will be transferred to destinations such as London and Paris, to which Al operates on Dreamliner flights.	no
כך שבעצם החברה תוכל לשחרר מטוסים גדולים כדי לטוס ליעדים נוספים במזרח.	So the company can actually free up big planes to fly to other destinations in the East.	no
בה בעת, באל על מצפים לשיחות שיתקיימו בשבועות הקרובים בנוגע לאפשרות שחברות התעופה הישראליות יוכלו לחזור לטוס לטורקיה, לשם תוכל החברה להפעיל טיסות באמצעות מטוסי הבואינג 737 של חברת התעופה.	At the same time, the airline expects talks in the coming weeks regarding the possibility that Israeli airlines will be able to fly back to Turkey, for which the company will be able to operate flights using the airline's Boeing 737 aircraft.	no
עושים סדר בבלאגן: כמה תשלמו עבור מזוודה בכל חברת תעופה?	How much would you pay for a suitcase on any airline?	yes
קבלו את המדריך המפורט למחירי הכבודה בחברות התעופה השונות •	Get the detailed guide to fares at the different airlines	yes
מי מציעה 6 יורו לתוספת של עד 10 ק"ג, ואיפה המחיר אף פעם לא כולל מזוודות?	Who offers 6 euros for an extra 10 kilos, and where the price never includes luggage?	yes
המחירים השתנו, תנאי הכבודה כבר לא אותו הדבר וישראלים רבים מופתעים כשהם מגיעים לנמל התעופה ומגלים שהם צריכים להוסיף סכומים גבוהים עבור מזוודות שחשבו שכלולות במחיר.	Prices have changed, the conditions of honour are no longer the same and many Israelis are surprised when they arrive at the airport and discover that they have to add high prices for luggage that they thought was included in the price.	yes
איך תדעו מה תנאי הכבודה של חברת התעופה?	How will you know what the airline's terms of service are?	yes
בשביל זה אנחנו כאן.	That's what we're here for.	yes
קבוצת לופטהנזה (סוויס, אוסטריאן ולופטהנזה) – כרטיס הלייט כולל כבודת יד בלבד, אם תרצו להוסיף מזוודה, תצטרכו לעשות את זה שבעה ימים מראש דרך האתר בעלות של 70 דולרים לכיוון, בטלפון זה יעלה לכם 80 דולרים ובנמל התעופה 100 דולרים.	Lufthansa Group (Swiss, Austrian, and Lufthansa)  A light ticket includes hand luggage only, if you want to add a suitcase, you have to do so seven days in advance via the website for 70 dollars one-way, it will cost you 80 dollars by phone and 100 dollars at the airport.	yes
במחלקה גבוהה יותר ישנה כבודה שכלולה במחיר הכרטיס במשקל של עד 23 קילוגרמים, ובפרימיום אקונומי ניתן לקחת גם שתי מזוודות.	In upper class, there is a included fare of up to 23 kilos, and at the economy premium you can take two suitcases.	yes
באמריקן איירליינס מציעים לנוסעים לניו יורק ומיאמי כבודה במשקל של 23 קילוגרמים ומזוודת טרולי.	American Airlines is offering passengers to New York and Miami a 50-pound package and a trolley bag.	yes
אם תרצו להוסיף מזוודה גדולה במשקל של 23 קילוגרמים תשלמו 100 דולרים לכיוון.	If you want to add a large suitcase weighing 70 pounds, you can pay $100 one way.	yes
ביונייטד איירליינס מציעים מזוודה במשקל של עד 23 קילוגרם במחלקת תיירים, בפרימיום שתי מזוודות באותו המשקל ובביזנס שתי מזוודות במשקל של 32 קילוגרם.	United Airlines offers a suitcase of up to 80 pounds (23 kg) in the tourist section, at premium two suitcases of the same weight and at business a suitcase that weighs 80 pounds (32 kg).	no
כמובן שניתן להוסיף גם טרולי.	Of course, we can add a troll.	no
בארקיע מחיר הכרטיס הבסיסי כולל תיק יד שגודלו לא עולה על 55*20*40 ובמשקל של עד 7 קילוגרם.	The basic ticket price includes a handbag that is not larger than 55*20*40 and weighs up to 7 kilos.	no
מזוודה במשקל של עד 20 קילוגרם תעלה 40 דולרים לכיוון בהזמנה מראש.	A suitcase weighing up to 20 pounds will cost $40 one way with reservation.	no
בנמל התעופה המחיר יעמוד על 90 דולרים לנוסע לכיוון.	At the airport, the price will be about $90 a way.	no
בטורקיש איירליינס מציעים טרולי של 8 קילוגרם לטסים לטורקיה ולממשיכים עם אנדולוג'ט ליעדי המשך.	Turkish Airlines is offering an eight-kilogram trolley to fly to Turkey and continue on to Andouljet for onward destinations.	no
מי שממשיך עם טורקיש איירליינס ליעדים מחוץ לטורקיה זכאי למזוודה גדולה במשקל של עד 23 קילוגרמים.	Those traveling on Turkish Airlines to destinations outside of Turkey are entitled to a large suitcase weighing up to 23 kilograms.	no
אם תרצו להוסיף כבודה, מומלץ לעשות זאת באינטרנט ומראש.	If you want to add honor, it's best to do so online and in advance.	no
בחברת וירג'ין אטלנטיק ניתן לעלות למטוס עם טרולי או תיק יד בגודל של עד 56*36*23.	Virgin Atlantic allows you to board with a trolley or carry-on bag up to 56*36*23.	no
במידה שתרכשו כרטיס לייט, תוספת מזוודה גדולה תעלה 75 דולרים בשדה.	If you buy a light, an extra large suitcase will cost $75 in the field.	no
אם תרכשו כרטיס רגיל, הוא יכלול גם מזוודה של עד 23 קילוגרם.	If you buy a standard ticket, it will also include a suitcase of up to 23 kilos.	no
איתיחאד איירווייז מאפשרת לעלות למטוס עם תיק יד או טרולי במשקל של עד 7 קילוגרם ומזוודה נוספת של עד 23 קילוגרם.	Etihad Airways allows you to board an aircraft with a carry-on bag or trolley weighing up to 7 kg and an additional baggage of up to 23 kg.	no
בישראייר המחיר לא כולל כבודה.	Beshear, the price doesn't include honor.	no
אם תרצו להזמין מזוודה במשקל של עד 40 קילוגרם, תשלמו 40 דולרים לכיוון בהזמנה מראש, כאשר בנמל התעופה זה יעלה לכם 80 דולרים.	If you want to order a suitcase weighing up to 40 kilos, you pay $40 a way to pre-book, whereas at the airport, it will cost you $80.	no
טרולי במשקל של עד 8 קילוגרם יעלה 9 דולר לכיוון.	A trolley weighing up to eight pounds will cost nine dollars each way.	no
חברת הלואוקוסט וויז אייר מאפשרת לנוסעים שרכשו כרטיס בסיסי לעלות למטוס עם תיק גב בלבד.	Lowcoast Wizz Air allows passengers who have purchased a basic ticket to board with only a backpack.	no
אם תרצו להוסיף כבודה מעבר לכך, המחיר משתנה בהתאם לסוג הכרטיס שתרכשו וליעד, והמחירים יכולים להגיע לכמה מאות שקלים למזוודה (150-290 לכיוון), תלוי במשקל המזוודה שתבחרו.	If you want to add a little extra prestige, the price varies depending on the type of ticket you purchase and the destination, and can go up to several hundred shekels per suitcase (150-290 KZT) each, depending on the weight of the suitcase you choose.	no
בחברת איזיג'ט מאפשרים להעלות תיק קטן בגודל של 45*36*20 ובתנאי שיוכל להיכנס מתחת למושב.	Easyjet allows you to carry a small 45x36x20 bag, on the condition that it will fit under the seat.	no
מעבר לכך, בכרטיס הבסיסי תצטרכו לשלם עבור תוספת של כבודה.	On top of that, on the basic card you'll have to pay for a complimentary extra.	no
מי שיזמין מושב עם יותר מקום לרגליים יוכל להבא איתו תיק גדול במידות של 56*45*25.	Anyone booking a seat with more legroom can bring along a large bag measuring 56 by 45 by 25.	no
מחיר השדרוג למושב מועדף שיקנה גם יותר כבודה משתנה בין הטיסות.	The price of upgrading to a preferred seat that will also buy more respectability varies between flights.	no
מדיניות הכבודה של ראינאייר היא המורכבת ביותר, ומתחילה מתיק אישי בסיסי שיכול להיכנס מתחת למושב בחינם.	Ryanair's honor policy is the most elaborate, starting with a basic personal briefcase that can go under a seat for free.	no
אם תרצו להוסיף, תוכלו להתחיל מ-6 יורו לכיוון בתנאי שכל הכבודה שלכם לא תגיע ליותר מ-10 קילוגרם, ומשם המחירים מזנקים ויכולים להגיע גם למאות שקלים לנוסע לכיוון, תלוי בסוג הכבודה שתבחרו ובכרטיס שרכשתם.	If you want to add on, you can start at 6 euro per way as long as the total weight of your luggage is no more than 10 kilos, and from there, the price jumps up and down to hundreds of shekels per way, depending on the type of luggage you choose and the ticket you have purchased.	no
בכרטיס הלייט של אל על תהיו זכאים לכבודת יד של עד 8 קילוגרם.	On the El Al Lite card, you'll be eligible for a hand gesture of up to eight pounds.	no
אם תרכשו כרטיסי קלאסיק תהיו זכאים גם למזוודה גדולה שתישלח לבטן המטוס.	If you purchase a classic ticket you are also entitled to a large suitcase sent to the belly of the plane.	no
הזמנה של מזוודה נוספת יכולה לעלות בין 90-150 דולרים לכיוון אם תעשו זאת בנמל התעופה, בהזמנה מראש המחיר מעט זול יותר.	Booking an extra suitcase can cost between $90 and $150 one way if you do it at the airport, with advance reservations a little cheaper.	no
פטור מבידוד למחוסנים ומחלימים ממדינות שאינן אדומות, התיירים הזרים חוזרים.	Exempt from quarantine for vaccinated and recovered from non-red countries, foreign tourists are returning.	yes
הנוחתים בארץ קיבלו הודעות ממשרד הבריאות שלפיהן הם פטורים מחובת הבידוד עם קבלת תשובה שלילית לבדיקת הקורונה •	The passengers have received notices from the Ministry of Health that they are exempt from the obligation to isolate with a negative coronavirus test.	yes
רק לאחר מכן הוציא המשרד הודעה רשמית לפיה רק מדובר רק בנוסעים ממדינות כתומות, למרות שגם חוזרים ממדינות אדומות דיווחו על קבלת ההודעה •	Only then did the bureau release an official statement saying that the passengers were all from orange countries, although returnees from red countries also reported receiving the message.	yes
בנוסף: תיירים מיעדים כתומים יוכלו להיכנס לארץ וכן צפויה הסרה של יעדים אדומים רבים מהרשימה.	In addition, tourists from orange destinations will be able to enter the country and many red destinations are expected to be removed from the list.	yes
בשיא מגפה - הסוף לבידוד לחוזרים מחו"ל?	At the height of a pandemic, the end of quarantine for returnees from abroad?	yes
משרד הבריאות שלח הבוקר (שני) הודעות לשבים לארץ, ולפיהן הם פטורים מבידוד עם קבלת תשובה שלילית לבדיקת הקורונה שביצעו לאחר הנחיתה בישראל.	The Ministry of Health sent this morning (Monday) messages to return to Earth, saying that they are exempt from isolation with receiving a negative result to the coronavirus test performed after landing in Israel.	yes
מדובר גם בשבים ממדינות אדומות.	There are also returnees from red countries.	yes
חלק מההודעות שנשלחו הודיעו לחוזרים שהם יכולים להשתחרר לאחר קבלת תשובה שלילית או לאחר 24 שעות לכל המאוחר, וחלק מהם קיבלו את הפטור לאחר שקיבלו את התשובה השלילית.	Some of the messages sent informed repeaters that they could be released after receiving a negative response or after 24 hours at the latest, and some of them received the immunity after receiving the negative response.	yes
רק לאחר מכן יצאה הודעות רשמית ממשרד הבריאות ובה נכתב כי החל מהלילה בחצות, 4.1.2022, מחוסנים או מחלימים , השבים ממדינות כתומות יבצעו בדיקת PCR בנתב"ג ויכנסו לבידוד למשך 24 שעות או עד קבלת תוצאה שלילית (המוקדם מביניהם).	Only then did official announcements come out from the Ministry of Health stating that as of midnight, 4.1.2022, vaccinated or convalescent returnees from orange countries will undergo a PCR test at the NatBEG and enter isolation for 24 hours or until a negative result (whichever is earlier).	yes
ההחלטה תעוגן בצו מנכ"ל משרד הבריאות ותובא לאישור ועדת הבריאות של הכנסת.	The decision will be sealed in the order of the Director General of the Ministry of Health and submitted to the Knesset Health Committee for approval.	yes
במשרד הבהירו כי מחוסנים או מחלימים שכבר שבו לישראל ממדינה כתומה וקיבלו תוצאה שלילית מבדיקת ה-PCR שביצעו בכניסה לישראל, יסיימו את הבידוד הלילה בחצות והם אינם מחויבים בביצוע בדיקה שנייה.	The ministry clarified that vaccinated or recovered people who have already returned to Israel from an Orange State and received a negative result from the PCR test performed upon entering Israel will finish their isolation at midnight and are not obliged to perform a second test.	no
למרות זאת, נוסעים ממדינות אדומות דיווחו כי גם הם קיבלו את ההודעה.	However, passengers from red states reported that they also received the message.	no
מי שלא התחסן או החלים ושב ממדינה כתומה, יכנס לבידוד ביתי למשך 14 יום, עם אפשרות לקיצור בידוד עם קבלת תוצאה שלילית בבדיקת pcr שבוצעה החל מהיום ה-7 לנחיתה בישראל (יום הנחיתה הוא היום הראשון).	Those who have not been vaccinated or recovered and who have returned from an orange-colored country will be placed in home isolation for 14 days, with the possibility of shortening the isolation with a negative result in a PCR test performed from the 7th day of landing in Israel (the landing day is the first day).	no
ההחלטה על הסרת רוב ההגבלות על הטסים ובעיקר על המחוסנים מגיעה יום לפני הדיון בבג״ץ שהגישו התאחדות משרדי הנסיעות, המטה לשמיים פתוחים והתאחדות המלונות.	The decision to lift most of the restrictions on flights and especially vaccinated people comes a day before the High Court hearing brought by the association of ministries of travel, the Open Skies HQ and the hotel association.	no
בדיון שיתקיים מחר צפויים לדרוש העותרים להסיר את כל שאר המדינות האדומות מהרשימה, כאשר מי שמגבה אותם בחוות דעתו הוא פרופסור איתמר גרוטו.	At the hearing tomorrow, the petitioners are expected to demand the removal of all remaining countries from the red list, while being supported in their opinion by Professor Ithamar Grotto.	no
גם זרים יוכלו להיכנס.	Foreigners will be allowed in.	no
ראש הממשלה ושרי החוץ, הבריאות, הפנים, התיירות והתחבורה סיכמו כי החל מיום ראשון 9.1.2022, תותר כניסת זרים מחוסנים/מחלימים (לפי הגדרת משרד הבריאות) ממדינות כתומות - זאת בכפוף למילוי טופס מקוון מבעוד מועד, ביצוע בדיקת PCR או אנטיגן לפני העלייה למטוס, ביצוע בדיקת PCR בכניסה לישראל ולאחריה כניסה לבידוד למשך 24 שעות או קבלת תשובה שלילית בבדיקה (המוקדם מביניהם).	The Prime Minister and the Ministers of Foreign Affairs, Health, Interior, Tourism and Transport agreed that as of 9 January 2022 vaccinated/recovered foreigners (as defined by the Ministry of Health) will be allowed to enter from countries listed above - this will be subject to filling in an online form in advance, performing a PCR or antigen test before boarding an aircraft, performing a PCR test on entry into Israel and then quarantining for 24 hours or receiving a negative test result (which occurs first).	no
זרים לא מחוסנים/ לא מחלימים (לפי הגדרת משרד הבריאות) לא יורשו להיכנס לישראל.	Foreigners who are not vaccinated/unvaccinated (as defined by the Ministry of Health) will not be allowed to enter Israel.	no
זרים ממדינות אדומות, למעט מי שכניסתם אושרה על ידי ועדת החריגים, לא יורשו להיכנס לישראל.	Foreigners from the red countries, except those whose entry has been approved by the Committee on Exceptions, will not be allowed to enter Israel.	no
מתווה הקבוצות לא יחודש בשלב זה.	The roster will not be updated at this time.	no
ומה עם מדינות אדומות?	What about the red countries?	no
הוועדה לסיווג מדינות במשרד הבריאות ממליצה לממשלה הוועדה ממליצה להסיר מרשימת המדינות האדומות ולהעביר לרשימת הכתומות את המדינות: דרום אפריקה, הונגריה, ניגריה, ספרד, פורטוגל, צרפת, קנדה.	The committee on nation-by-nation classification at the Ministry of Health recommends the government remove from the red list of countries and move the following to the orange list: South Africa, Hungary, Nigeria, Spain, Portugal, France, Canada.	no
המדינות שנותרות בשלב זה ברשימת המדינות האדומות: איחוד האמירויות, ארה"ב, אתיופיה, הממלכה המאוחדת, טנזניה, מקסיקו, שווייץ ותורכיה.	The countries remaining at this point on the red list are the United Arab Emirates, the United States, Ethiopia, the United Kingdom, Tanzania, Mexico, Switzerland and Turkey.	no
אפשרות נוספת שבוחנים במשרד הבריאות היא לפטור מבידוד את המחוסנים שחוזרים ממדינות אדומות.	Another option being considered by the Ministry of Health is to exempt vaccinated persons returning from red states from quarantine.	no
כרגע לא ברור אם יש קשר בין ההודעות שקיבלו הבוקר החוזרים לישראל לבין ההנחיות שעשויות להתקבל במשרד הבריאות בנושא הזה.	It is not immediately clear if there is a link between the messages received this morning by the returnees to Israel and the instructions that may be received at the Ministry of Health on this matter.	no
ממשרד הבריאות טרם התקבלה תגובה.	The Ministry of Health has yet to respond.	no
השמיים מתחילים להיפתח: משרד הבריאות משנה את ההגבלות על שערי הארץ	The sky begins to open: Ministry of Health changes the restrictions on land gates	yes
מחוסנים החוזרים ממדינות כתומות יחויבו בבידוד של 24 שעות •	Vaccinated returnees from orange countries will be required to undergo 24-hour isolation	yes
המדינות ארה"ב, טורקיה, בריטניה ואיחוד האמירויות יוגדרו אדומות.	The United States, Turkey, the United Kingdom and the United Arab Emirates will be marked in red.	yes
אחרי שבועות ארוכים שבהם היה קשה מאוד למצוא יעד שאליו ניתן לטוס בלי הגבלות, ולאחר שכל החוזרים מחו"ל חויבו בבידוד, לצד איסור כניסת תיירים לישראל - אתמול הוחלט לשנות את הנהלים ולהקל באופן משמעותי את ההגבלות על נתב"ג.	After long weeks when it was very difficult to find a destination to which one could fly without restrictions, and after all returnees from abroad were obliged to quarantine, along with the ban on tourists entering Israel - yesterday it was decided to change the procedures and significantly ease the restrictions on the border guard.	yes
במשרד הבריאות החליטו להמליץ לבטל את חובת הבידוד למשך שלושה ימים לישראלים שחוזרים ממדינות כתומות.	The Ministry of Health has decided to recommend lifting the three-day quarantine requirement for Israelis returning from orange countries.	yes
עד כה, כל מחוסן או מחלים לפי הגדרות משרד הבריאות שחזר ממדינה כתומה - חויב בבידוד למשך שלושה ימים, בכפוף לשתי בדיקות קורונה.	To date, anyone vaccinated or recovered -- as defined by the Department of Health -- who has returned from an orange country is required to self-isolate for three days, subject to two coronavirus tests.	yes
כעת, הבידוד שיצטרכו להיכנס אליו המחוסנים והמחלימים שחוזרים ממדינות כתומות הוא ל־24 שעות לכל היותר, או עד קבלת התוצאות של בדיקות הקורונה שמבוצעות לאחר הנחיתה בנתב"ג (המוקדם מביניהם).	Now, vaccinated and recovered people returning from orange countries will have to go into quarantine for a maximum of 24 hours, or until they receive the results of the coronavirus tests they have had after landing at NABBG, whichever comes first.	yes
מי שלא מוגדר מחוסן או מחלים יחויב בכל זאת להיכנס לשבעה ימי בידוד בכפוף לשתי בדיקות קורונה, או 14 ימים ללא הבדיקה השנייה, גם אם חזר ממדינה כתומה וגם אם חזר ממדינה אדומה.	Anyone not classified as being immunized or recovered will still be required to go to seven days of isolation subject to two coronavirus tests, or 14 days without the second test, whether returning from an orange country or returning from a red country.	yes
מחוסן או מחלים שחזר ממדינה אדומה חייב גם הוא בבידוד מלא.	Immunized or recovered returning from a red state must also be in complete isolation.	yes
רשימת המדינות האדומות העדכנית שעליה המליץ משרד הבריאות, ושעדיין צריכה לעבור את אישור הממשלה, כוללת את ארה"ב, טורקיה, טנזניה, אתיופיה, מקסיקו, בריטניה, שווייץ ואיחוד האמירויות.	The latest red list of countries recommended by the Ministry of Health, and still pending government approval, includes the United States, Turkey, Tanzania, Ethiopia, Mexico, the United Kingdom, Switzerland, and the United Arab Emirates.	yes
בכל המדינות, למעט טורקיה, ממוצע החיוביים שנכנסו לארץ בשבועיים האחרונים הוא יותר מ־5% מסך כלל הנכנסים, מה שמכניס אותן באופן אוטומטי לרשימת המדינות האדומות.	In all the countries except Turkey, the average positive in the last two weeks is more than 5% of their total income, automatically putting them on the red list.	no
קצב העלייה בקרב החולים מטורקיה הוא מהיר, שיעור החוזרים החיוביים ממנה עומד על קצת יותר מ־4%, ולכן הוחלט להכניס גם אותה לרשימת המדינות האדומות.	The rate of increase in patients from Turkey is rapid, with a positive rate of just over 4 percent, and so it was decided to add Turkey to the red list.	no
המדינות הבולטות שיוסרו מרשימת המדינות האדומות: צרפת, ספרד, פורטוגל וקנדה.	The most prominent countries to be removed from the red list are France, Spain, Portugal and Canada.	no
בתוך כך, החל מ־9 בינואר, תיירים שמחוסנים לפי דרישות משרד הבריאות יוכלו להיכנס לישראל ללא צורך בבידוד, ובדומה לתנאים של ישראלים שחוזרים ממדינה כתומה.	Meanwhile, starting January 9, tourists who are vaccinated in accordance with the Ministry of Health's requirements will be able to enter Israel without the need for quarantine, with similar conditions for Israelis returning from an orange country.	no
גם במקרה הזה, ההחלטה כפופה לאישור הממשלה, שתדון בנושא בימים הקרובים.	Once again, the decision is subject to the approval of the government, which will be discussed in the coming days.	no
חשוב לציין שמעטים המקרים שבהם הממשלה לא מאשרת את המלצות משרד הבריאות בתחום זה.	It's important to note that there are very few cases in which the government does not endorse the recommendations of the Ministry of Health in this area.	no
התיירנים נגד ההגבלות.	The tourists are against the restrictions.	no
