בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three Cheetah cubs born in Iran	yes
למרות שקלע רע מאוד (2-9 מהשדה), ווילבקין תרם בהגנה, ובעיקר, מכבי פתאום נראתה כמו קבוצה, והשחקנים האחרים קלעו.	Despite scoring badly (2-9 from the field), Wilbekin contributed defensively, and mostly, Maccabi suddenly looked like a team, and the other players scored.	no
למרות זאת, לקראת הסיום, באופן טבעי עם פחות חמצן במוח, הקבוצה חזרה להרגלים הישנים, וההתקפות חזרו אחורה לכדררות והפגזות, ובהתקפה הכי קריטית, עם יתרון 2 ו-40 שניות לסוף, סקוטי כדרר עצמו לחצי פינה וזרק פלואטר על רגל אחת שכמעט הפסיד את המשחק.	However, towards the end, naturally with less oxygen in the brain, the team reverted to old habits, and the attacks reverted back to dribbling and shelling, and in the most critical attack, with a 2 and 40 seconds to go, Scotty dribbled himself to half a corner and threw a floater on one leg that almost lost the game.	no
החוכמה היא להמשיך לשחק תרגילים ותנועת מסירות דווקא ברגעי הקלאץ', וזה חייב להיכנס לטבע ול- DNA הקבוצתי.	The trick is to keep playing tricks and passing especially in the clutch moments, and that has to go into the nature and team DNA.	no
את הלמידה החשובה יעשו יאניס והמועדון לגבי השימוש בישראלים.	The important learning will be done by Yanis and the club regarding the use of Israelis.	no
אלה שהפכו לשואבי מים ומנופפי מגבות במשחקים באירופה.	Those who have become water-vacuums and towel-waving at European games.	no
הלילה הם קלעו עבור המאמן שהפסיק להאמין בהם יותר ממחצית הנקודות של הקבוצה (42 מתוך 83), והיו אלה ששמרו את המשחק חי בסיום.	Tonight they scored more than half of their team's points (42 of 83), and they were the ones who kept the game alive at the end.	no
ארבעה מחמשת הקלעים המובילים במכבי היו הישראלים שלה.	Four of Maccabi's top five scorers were Israelis.	no
ואל תגידו ישראל זה לא אירופה.	And don't say Israel is not Europe.	no
אם הם יכולים להיות דומיננטיים נגד ירושלים, הקבוצה הכי אירופאית בליגה שלנו, הם יכולים לעזור גם ביורוליג.	If they can be dominant against Jerusalem, the most European team in our league, they can help in the Euroleague as well.	no
בחצי הראשון זה היה בעיקר עוז בלייזר, שהמדור זועק כבר חודש שהוא חייב לשחק יותר.	In the first half it was mostly Hawthorn, who have been crying out for a month that they must play more.	no
קלעי, מוסר, לוחם מתחת לסלים (7 ריבאונדים), 2 מטר של נחישות הגנתית וחוכמת משחק.	Shooting, passing, fighting under baskets (7 rebounds), 2 yards of defensive determination and game wisdom.	no
זה לא מספיק?	Isn't that enough?	no
במחצית השניה כיכבו ג'ייק כהן, עם אחוזים מצוינים מכל הטווחים, קור רוח מהקו, וחיפוי על פציעתו של ז'ז'יץ', ובעיקר ג'ון די, שבמצב של 70:63 לירושלים שינה את המומנטום עם 5 נקודות רצופות.	The second half starred Jake Cohen, with excellent percentages from all ranges, composure from the line, and covering for an injury to Zajic, and especially John Dee, who at 70-63 changed the momentum with 5 consecutive points.	no
עם יפתח זיו יש ליאניס מערכת יחסים מורכבת, ונראה שלעיתים הוא נותן לו יותר מדי קרדיט, ומעמיס עליו יותר מדי, עד כדי סיכון בהפסד.	Yannis has a complicated relationship with Yiftach Ziv, and it seems that at times he gives him too much credit, and burdens him too much, to the point of risking loss.	no
זה קורה גם ביורוליג, וזה קרה גם הלילה.	It happens in the Euroleague, and it happened tonight, too.	no
אבל הלמידה החשובה צריכה להיות של המועדון, לגבי אסטרטגיית האמריקניזציה שלו.	But the important learning has to be the club's about its Americanisation strategy.	no
עובדה: הישראלים הבכירים כבר לא רוצים לבוא למכבי.	Fact: Senior Israelis no longer want to come to Maccabi.	no
תומר גינת וים מדר יצאו לאירופה אבל לא למכבי, רפי מנקו חזר לחולון, ועכשיו נועם דברת בוחר בירושלים, או אולי נדחה על ידי מכבי.	Tomer Ganat and Yam Mader went to Europe but not to Maccabi, Rafi Manko returned to Holon, and now Noam Dvrat chooses Jerusalem, or maybe he was rejected by Maccabi.	no
וזה קורה כי במכבי נשארים בהדרגה פחות מקומות לישראלים, בגלל בחירה מושכלת ושורשית של המועדון להתבסס על אמריקנים.	And this is happening because Maccabi is gradually being left with fewer places for Israelis, because of an informed and grassroots choice by the club to base itself on Americans.	no
מכבי תגיע בקרוב לקו פרשת המים, שבו לא יהיו ישראלים שירצו לשחק בה, ואז היא תחפש ילדים יהודיים כדי שיתאזרחו, ותלחץ על המנהלת/איגוד כדי להגדיל עוד את מספר הזרים.	Maccabi will soon reach the watershed, where there will be no Israelis who want to play in it, and then it will look for Jewish children to become naturalized, and pressure the principal/association to increase the number of foreigners.	no
אבל זו טעות גורלית של המועדון.	But this is a fatal mistake by the club.	no
והמשחק שראינו צריך להזכיר למכבי שהיא מגזימה עם הזרים, הרבה בגלל הנחת המס.	And the game we saw should remind Maccabi that it is exaggerating with the foreigners, much because of the tax break.	no
בוודאי שלא נטען שהישראלים לבד מספיקים, אבל הם מספיק טובים כדי לתמוך בארבעה זרים מעולים.	Certainly we wouldn't argue that the Israelis alone are enough, but they are good enough to support four excellent foreigners.	no
אז במקום להוציא את אותו הכסף על כוכב אחד ועוד שמונה בינוניים, אפשר חמישה מצוינים.	So instead of spending the same money on one star plus eight mediocre ones, you can have five excellent ones.	no
למשל העונה, בכסף של וויליאמס, נאנלי, אוואנס, ריינולדס וטילור, אפשר היה להביא שני כוכבים (רכז כוכב ופורוורד על) יעילים ויציבים ליד סקוטי וז'יזי'ץ'.	This season, for example, with Williams, Nunley, Evans, Reynolds and Taylor, you could have two stars (star point guard and super forward) who are effective and stable next to Scotty and Zizic.	no
זה יהיה יותר יעיל, זה יהיה יותר נכון, זה יהיה יותר ישראלי, זה יהיה יותר יפה ומעניין ומייצר הזדהות.	It will be more effective, it will be more true, it will be more Israeli, it will be more beautiful and interesting and generates empathy.	no
נכון שיש שתי מסגרות עמוסות ועונה ארוכה - אז צריך לסמוך על הישראלים שלך.	It's true that there are two busy frames and a long season - so you have to trust your Israelis.	no
וגם כי אתם קבוצה ישראלית, שמתיימרת לייצג את ישראל, ואפילו מקבלים מהמדינה הקלת מס עבור הכאילו -ייצוג שלה באירופה.	And also because you are an Israeli group, which claims to represent Israel, and even receives tax relief from the state for its pretend representation in Europe.	no
איגוד הכדורסל/מנהלת הליגה יכולים לעזור למכבי, ולחזור לשפיות עם מספר זרים מותאם לליגה הישראלית.	The Basketball Association/league administration can help Maccabi, and return to sanity with a number of foreigners adapted to the Israeli league.	no
6 ברוסטר, 4 בטופס, מקסימום שלושה על המגרש בו זמנית.	6 on the roster, 4 on form, maximum three on the field at the same time.	no
האם בשביל ההישגים הכושלים המתמשכים (כבר שבע שנים באירופה), רק בשביל מכבי, הליגה מוצפת בזרים?	Is it for the ongoing failed achievements (already seven years in Europe), just for Maccabi, that the league is awash with foreigners?	no
וארגון השחקנים, מה איתכם?	And the players Union, what about you?	no
בשביל זה שבתתם?	Is that why you sat down?	no
היו שני ישראלים על המגרש, ועכשיו יש אחד?	There were two Israelis on the field, and now there is one?	no
כמו ג'ורג' קוסטנזה בפיילוט של סיינפלד.	Like George Costanza in the Seinfeld pilot.	no
להתמקח כדי לקבל פחות?	Bargain to get less?	no
החוק הרוסי הקודם היה טוב לכדורסל, טוב לקבוצות, ואפילו טוב למכבי.	The previous Russian law was good for basketball, good for teams, and even good for Maccabi.	no
ואם מישהו היה צריך חיזוק לכיוון הנ"ל, באה הפועל אילת במשחק המוקדם והסבירה את זה כל כך יפה.	And if anyone needed reinforcement in the above direction, Hapoel Eilat came in the early game and explained it so beautifully.	no
עם 3 זרים, ועוד 4 ישראלים שהיו רק משניים בנבחרות הצעירות (הובר, בן משה, רוינה ושוכמן הלוחם), היא פירקה את חולון (השניה בטבלה!) בפעם השניה בשבועיים האחרונים.	With 3 foreigners, plus 4 Israelis who were only two in the young teams (Huber, Ben Moshe, Ruina and Shochman the Fighter), she dismantled Holon (second in the table! For the second time in two weeks.	no
זו מסורת באילת לשחק טוב עם שלושה זרים, כי היתה ריצה כזו גם בימי דן שמיר והרבה בימי שרון דרוקר.	It is a tradition in Eilat to play well with three strangers, because there was such a run in the days of Dan Shamir and much in the days of Sharon Drucker.	no
אילת הקצרה היא פשוט קבוצה מאוזנת ויעילה יותר, ואין כמו אריאל בית הלחמי, שהתחיל במגרשים הפתוחים בגבעת שמואל, להדגים ולהזכיר לנו איך כדורסל ישראלי צריך להיראות.	Short Eilat is simply a more balanced and efficient team, and there is nothing like Ariel Beit Lahmi, who started out on the open courts in Givat Shmuel, to demonstrate and remind us what Israeli basketball should look like.	no
כולם בשיא כושרם, כולם משחקים יחד, וכל הישראלים לומדים ומשפרים את המשחק שלהם.	Everyone is at their best, everyone is playing together, and all Israelis are learning and improving their game.	no
הזרים רק משלימים.	The foreigners only make up.	no
כשבן קרטר וקייסי פראת'ר יחזרו מפציעת הברך, זו תהיה קבוצה אדירה.	When Ben Carter and Casey Prather return from knee injuries, it will be a tremendous team.	no
שיר שחלמתי על אילת.	A song I dreamed of in Eilat.	no
ושמכבי יכולה ללמוד ממנו על הכיוון הנכון.	You can learn from him on the right track.	no
חגיגות צהובות: "הייתה הרגשה שכל העולם נגדנו"	"There was a feeling that the whole world was against us."	yes
הצהובים מאושרים לאחר ה-78:83 על הפועל ירושלים בארנה: "חזרנו לשחק כמו שמכבי ת"א צריכה לשחק" •	The Yellows are happy after the 83-78 win over Hapoel Jerusalem in the Arena: "We returned to play like Maccabi Tel Aviv should play" •	yes
על השיחה של עמי ביטון בחדר ההלבשה, האבחנה הראשונה האופטימית לפציעת ז'יז'יץ' והאישור של ההנהלה לרכש.	On the talk of Ami Bitton in the dressing room, the optimistic first diagnosis of the Dzeko injury and the management's approval of the acquisition.	yes
תחושת הקלה גדולה נרשמת הבוקר (ראשון) בקרב אנשי מכבי ת"א לאחר ה-78:83 החשוב והיוקרתי אתמול בארנה על הפועל ירושלים.	A great sense of relief is registered this morning (Sunday) among the Maccabi Tel Aviv personnel after the important and prestigious 78:83 yesterday at the Hapoel Jerusalem Arena.	yes
שחקני הקבוצה ואנשי ההנהלה התחבקו עם המאמן יאניס ספרופולוס שנראה נרגש מאוד בסיום.	The team's players and management hugged coach Yannis Seferopoulos, who looked very excited at the finish.	yes
יפתח זיו ועוז בלייזר שפכו מים בהתלהבות על דריק וויליאמס המצטיין במשחק, וגם שאר אנשי המועדון חייכו חיוך גדול של אושר שהראה כמה לחץ השתחרר אחרי רצף ההפסדים האחרון.	Yiftach Ziv and Oz Blazer enthusiastically poured water on the game's outstanding Derrick Williams, and the rest of the team smiled a big smile of happiness that showed how much pressure had been released after the recent losing streak.	yes
גם הם פחדו מתבוסה מול היריבה הגדולה שתערער עוד יותר את המערכת.	They, too, feared defeat against the great rival that would further undermine the system.	yes
גם האוהדים נשארו דקות ארוכות לחגוג ביציעים.	Fans also stayed long minutes to celebrate in the stands.	yes
"יש בינינו לבין יאניס חיבור מדהים בחדר הלבשה", סיפר עוז בלייזר.	"We and Yannis have an amazing connection in the locker room," Oz said.	yes
"אנחנו יודעים שהמצב היה לא קל גם בשבילו, הרבה לחץ השתחרר.	"We know the situation was not easy for him either, a lot of pressure came out.	yes
חיכינו לזה מאוד, גם בצורה ששיחקנו.	We were really looking forward to it, even in the way we played.	no
חזרנו לשחק בצורה שמכבי ת"א צריכה לשחק בה, עם לב ולהילחם, אנחנו עומדים מאחוריו.	We came back to play the way Maccabi Tel Aviv should play, with heart and fight, we stand behind him.	no
הוא עשה לנו שיחות מוטיבציה ודיבר איתנו".	He gave us motivational talks and talked to us."	no
לפני המשחק מנהל הקבוצה עמי ביטון נכנס לחדר ההלבשה ונשא דברים מרגשים בפני השחקנים.	Before the game manager Ami Bitton went into the dressing room and made an emotional speech to the players.	no
"הייתה לדברים שלו השפעה רבה על איך שיצאנו ואיך ששיחקנו על הפרקט", סיפרו שחקנים במכבי.	"His stuff had a big impact on how we went out and how we played on the floor," Maccabi said.	no
למרות השמחה הרבה, במכבי כבר מכוונים למשחק החשוב מול באסקוניה ביום חמישי ורוצים לקטוע את רצף ההפסדים הארוך ביורוליג.	Despite the great joy, Maccabi are already aiming for the important game against Basconia on Thursday and want to end the longest losing streak in the Euroleague.	no
"אני מאמין שהמשחק הזה ישנה את המומנטום עבורנו", הוסיף בלייזר.	"I believe this game will change the momentum for us," Blazer added.	no
"הפסדנו הרבה משחקים בסוף והפעם הם הובילו כמה דקות לסוף ולא נשברנו.	"We lost a lot of games at the end and this time they led a few minutes to the end and we didn't break.	no
"במשחקים האחרונים היינו תחת המון לחץ, יאניס אמר לנו שאם נהיה משוחררים ננצח את המשחקים האלה.	"In the last few games we've been under a lot of pressure," Yannis told us. " If we get loose we'll win these games.	no
אני מאמין שהניצחון הזה יקח אותנו קדימה.	I believe this victory will take us forward.	no
הרבה עיניים עלינו וזו הייתה הרגשה של כל העולם נגדנו, אני גאה לצאת למלחמה הזאת, אנחנו מנתקים את כל המסביב ומסתכלים רק על עצמנו".	"A lot of eyes were on us and it was a feeling of the whole world against us, I'm proud to go to this war, we cut off all around and look only at ourselves."	no
אנטה ז'יז'יץ' שנפצע בברכו הימנית במהלך הרבע האחרון נבדק על ידי הצוות הרפואי בחדר ההלבשה והאבחנה הראשונית לא הייתה חמורה.	Ante Zijic, who injured his right knee in the final quarter, was examined by the medical staff in the dressing room and the initial diagnosis was not serious.	no
הרופאים יבדקו כיצד הברך תגיב היום ולאחר מכן יתברר כמה ימי מנוחה הוא יצטרך כדי להתאושש.	Doctors will see how the knee reacts today and then it will become clear how many days of rest he will need to recover.	no
בקבוצה מאמינים ומקווים כי השחקן יהיה כשיר לבאסקוניה.	The team believes and hopes that the player will be fit for Basconia.	no
פרט לגיבוי האיתן שניתן מההנהלה לספרופולוס והצוות המקצועי, בפגישה שנערכה ביום חמישי ניתן למנהל המקצועי ניקולה וויצ'יץ' אור ירוק להביא שחקן אחד או שניים כדי לחזק את הקבוצה, והצהובים מקווים לצרף בקרוב רכש איכותי.	Apart from the strong backing given from the management to Seferopolos and the professional staff, at a meeting held on Thursday, manager Nikola Vucic was given the green light to bring in one or two players to strengthen the squad, and the Yellows hope to bring in a quality acquisition soon.	no
אנתוני בנט שוחרר מהפועל ירושלים	Anthony Bennett released from Hapoel Jerusalem	yes
הפורוורד שנבחר ראשון בדראפט ה-NBA לא הצליח להתאקלם בקבוצה מהבירה •	The forward, who was selected first in the NBA draft, was unable to acclimate to the team from the Capitals. •	yes
במועדון נפרדו: "אנתוני נכנס ללב של כולנו, מודים לו על התקופה בהפועל".	The club said in a statement: "Anthony has entered the hearts of all of us, thanking him for his time at Hapoel."	yes
כארבעה חודשים אחרי שחתם בהפועל ירושלים, אנתוני בנט שוחרר היום (ראשון) מסגל הקבוצה.	About four months after signing with Hapoel Jerusalem, Anthony Bennett was released from the team on Sunday.	yes
הפורוורד (28, 2.03) שנבחר ראשון בדראפט ה-NBA ב-2013 על ידי קליבלנד קאבלירס רשם 7 נקודות ו-4.2 ריבאונדים בחמישה משחקים בליגת האלופות וכן 6.3 נק' ו-3.3 ריב' בשמונה משחקים בליגת העל.	The 28-year-old forward, who was selected first overall in the 2013 NBA draft by the Cleveland Cavaliers, posted 7 points and 4.2 rebounds in five NBA games, as well as 6.3 points and 3.3 rebounds in eight NBA games.	yes
"הפועל ירושלים והשחקן אנתוני בנט מודיעים כי הגיעו להחלטה משותפת על התרת חוזהו של השחקן במועדון", נמסר מהמועדון, "אנתוני נכנס ללב של כולנו ואנו מבקשים להודות לו על תקופתו בהפועל.	"Hapoel Jerusalem and player Anthony Bennett announce that they have reached a joint decision to terminate the player's contract at the club," the club said in a statement, "Anthony entered the hearts of all of us and we would like to thank him for his time at Hapoel.	yes
מאחלים לו רק טוב והצלחה".	Wish him well and success."	yes
מחקר קובע: פגישות זום פוגעות ביצירתיות	Study states: Zoom meetings hurt creativity	yes
כ-2,100 מהנדסים ואנשי אקדמיה בעולם התבקשו לפתח פתרונות לבעיה – חלקם במפגשי וידאו, חלקם בפגישות פנים אל פנים •	Some 2,100 engineers and academics around the world have been asked to develop solutions to the problem-some in video sessions, some in face-to-face meetings •	yes
התוצאה: פגישה וירטואלית פוגעת ביצירתיות ובחשיבה מחוץ לקופסה •	Result: Virtual meeting impairs creativity and thinking outside the box •	yes
מובילת המחקר באוניברסיטת קולומביה: "ההתמקדות החזותית במסך פוגעת בתהליך יצירת הרעיונות" •	Study leader at Columbia University: "The visual focus on the screen impairs the idea-making process" •	yes
נחמה פורתא: אין פגיעה בפריון העבודה או בחשיבה הביקורתית.	There is no harm to productivity or critical thinking.	yes
מחקר מדעי גדול שפורסם לאחרונה בכתב העת המדעי Nature בחן את ההשפעה של מפגשים דרך תוכנות וידאו על היצירתיות של המשתתפים בהם, בהשוואה למפגשים הנערכים פנים מול פנים.	A large scientific study recently published in the scientific journal Nature examined the impact of video-software encounters on the creativity of participants, compared to face-to-face encounters.	yes
למרבה הצער, נמצא כי היצירתיות אכן נפגעת בפגישות וירטואליות דרך מסכים.	Unfortunately, creativity has been found to be impaired in virtual meetings through screens.	yes
שאלת המחקר - בהובלת מלאני ברוקס, עוזרת פרופסור מאוניברסיטת קולומביה - הייתה האם פגישות מרוחקות באמצעות מחשב משמרות את היצירתיות שקיימת בפגישות סיעור מוחות משרדיות, או שרמת היצירתיות והחשיבה החופשית יורדת כתוצאה מהריחוק.	The question of the study - led by Melanie Brooks, an assistant professor at Columbia University - was whether remote computer meetings preserve the creativity that exists in office brainstorming sessions, or whether the level of creativity and free thinking decreases as a result of the distance.	yes
המחקר עצמו החל כבר בשנת 2016 אך קיבל דחיפה גדולה בשתי שנות הקורונה, שבמהלכן עובדים רבים עברו לעבוד מהבית.	The study itself began as early as 2016 but received a big boost in the two years, during which many workers moved to work from home.	yes
"אנשים בפגישה אישית נעים בחדר, משתמשים בחפצים ונעזרים בהם לחשיבה יצירתית", אומרת ברוקס.	"People in a personal meeting move around the room, use objects and use them for creative thinking," Brooks says.	yes
"בפגישת מחשב, לעומת זאת, הריכוז בשמירת קשר העין עם האחרים בא על חשבון הפעילות היצירתית במוח.	"In a computer session, however, the concentration in maintaining eye contact with others comes at the expense of creative activity in the brain.	no
ההתמקדות החזותית במסך מצמצמת את הקוגניציה.	The visual focus on the screen reduces cognition.	no
אנשים ממוקדים יותר בווידאו בעת אינטראקציה, מה שפוגע בתהליך יצירת הרעיונות הרחב והמרחיב".	People are more focused on video when interacting, which impairs the broad and expansive idea-making process."	no
המרחב מצטמצם.	Space is narrowing.	no
כדי לבחון את תוצאות הניסוי ולוודא האם יחזרו על עצמן, הן נבחנו פעמיים – פעם אחת באוניברסיטת קולומביה ופעם נוספת בחיים האמיתיים - על מהנדסים שהכירו זה את זה מהיכרות מוקדמת.	To test the results and see if they would be repeated, they were tested twice – once at Columbia University and again in real life - on engineers who knew each other from early acquaintance.	no
באוניברסיטה חילקה החוקרת קבוצה של 602 אנשי סגל וסטודנטים לשני חלקים – באחד התבקשו הנבדקים להיפגש אישית ולפתח פתרונות לבעיה, ובשני הם התבקשו לעשות זאת דרך מחשב.	At the university, the researchers divided a group of 602 faculty and students into two parts: in one, the subjects were asked to meet in person and develop solutions to the problem, and in the other, they were asked to do so through a computer.	no
במקביל, התבקשו 1,490 מהנדסים מחמש מדינות באירופה, במזרח התיכון ובדרום אסיה להתחלק באופן דומה ולפתור בדרך חדשה בעיה שהוצגה להם.	At the same time, 1,490 engineers from five countries in Europe, the Middle East and South Asia were asked to share similarly and solve in a new way a problem presented to them.	no
בשני המקרים נמצאה ירידה ביצירתיות ובחשיבה מחוץ לקופסה בקרב אלו שנפגשו וירטואלית בווידאו.	In both cases, there was a decline in creativity and out-of-the-box thinking among those who had met on video.	no
ג'יי אולסון, פוסט-דוקטורנט באוניברסיטת מקגיל בקנדה וחוקר שעוסק בדרכים למדידת יצירתיות, לא היה מעורב במחקר אך לא הופתע מהתוצאות.	Jay Olson, a postdoc at McGill University in Canada and a researcher on ways to measure creativity, was not involved in the study but was not surprised by the results.	no
לדעתו, במסגרת פעילות חשיבה, אנשים לרוב מסתכלים על סביבתם כדי להסתייע ביצירת רעיונות, ואילו במפגש וידאו החשיבה מתכנסת אל המסך ולא מתרחבת באופן המאפשר יצירתיות.	In his view, as part of a thinking activity, people often look at their surroundings to help create ideas, whereas in a video session the thinking converges to the screen rather than expanding in a way that allows creativity.	no
"כשהאנשים באותו חדר הם מביטים סביבם ורואים את המרחב, שבו יש חפצים ומצבים שיכולים לעורר בהם אסוציאציות חדשות.	"When people are in the same room, they look around them and see the space, where there are objects and situations that can give them new associations.	no
לעומת זאת, המחקר מראה שיחסים דרך מחשב משנים את תשומת הלב שלנו כך שאנו יותר מרוכזים פנימה ולמסך, והאופן הזה מצמצם את החדשנות ויצירת רעיונות דרך ההסתכלות על הסביבה והחשיבה החוצה".	On the other hand, research shows that relationships through a computer change our attention so that we are more focused on the inside and the screen, and this reduces innovation and idea creation through looking at the environment and thinking outwards."	no
אין פגיעה בחשיבה הביקורתית.	There is no impediment to critical thinking.	no
עם זאת, ולפני שמנהלים מריצים את העובדים חזרה למשרדים, מציינים החוקרים כי "העבודה דרך מחשב לא פגעה בפריון עצמו ולא בחשיבה הביקורתית של האנשים על הצעות חדשניות, כשהיה עליהם לבחור את הרעיון הכי טוב מתוך סט רעיונות.	However, before managers run employees back to the offices, the researchers note that "working through a computer did not damage productivity itself nor people's critical thinking on innovative proposals, when they had to choose the best idea from a set of ideas.	no
כלומר, הפגיעה היא ממוקדת ליצירתיות בלבד ולא לשאר צורות העבודה מול מחשב".	That is, the harm is focused on creativity only and not on the other forms of work in front of a computer."	no
פרופ' אלן לנגר, פרופסור לפסיכולוגיה באוניברסיטת הרווארד, מסייגת גם היא את הממצאים.	Ellen Langer, a professor of psychology at Harvard University, also disputed the findings.	no
לדבריה, "יש הבדל בין סתם יצירתיות, כמו שימושים חדשים לפריזבי (אחת משאלות המחקר; א"ג) לבין פתרונות של עבודה.	She said:"There is a difference between just creativity, like new uses for frisbee (one of the research questions; AG), and solutions of work.	no
ייתכן גם שכשהעובדים נינוחים יותר אחרי היכרות, או ששהם עובדים מהבית, היצירתיות כן תשתפר".	It may also be that when employees are more relaxed after getting to know each other, or work from home, creativity will improve."	no
הן פרופ' לנגר והן ד"ר אולסון, גם הציעו מחקר עתידי בו פגישות כאלו יופסקו למצבי חשיבה ושוטטות בחדר כדי לראות איך הפעילות הזו תשפיע על התוצאה הסופית.	Both Prof Langer and Dr Olson also suggested future research in which such meetings would be stopped for states of mind and wandering around the room to see how this activity would affect the end result.	no
כמו כן ד"ר אולסון הציע כי בעקבות המחקר רק לפגישות סיעור מוחות עובדים יחזרו לעבודה וככלל הוא הציע שלא להיבהל ממחקר אחד אלא לבצע עוד חקירה בתחום.	Dr. Olson also suggested that following the study only for brainstorming sessions, employees would return to work, and as a rule he suggested not to be alarmed by one study but to do more research in the field.	no
"לא הייתי רוצה שעובדים יוחזרו בכפייה ולא יהיו מאושרים זו פגיעה גדולה יותר" הוא אומר.	"I wouldn't want workers to be forcibly returned and not be happy is a bigger hit," he says.	no
מאסק מחכה לשובו של טראמפ: "לא היה נכון לחסום אותו"	Musk on Trump's return: 'It wasn't right to block him'	yes
הרוכש הטרי של טוויטר אמר כי הוא יהפוך את החלטה, אשר הובילה לחסימת חשבונו של נשיא ארה"ב לשעבר •	Twitter's fresh purchaser said it would reverse the decision, which led to the former US president's account being blocked •	yes
"חושב שזאת הייתה טעות", הודה.	"I think it was a mistake," he admitted.	yes
בעליו של טסלה ו-SpaceX, אילון מאסק, שרכש לאחרונה את טוויטר בעסקה המוערכת ב-44 מיליארד דולר, אמר היום (שלישי) כי בכוונתו להחזיר את טראמפ לרשת החברתית, אשר חסמה אותו בעודו היה נשיא, לאחר התפרעויות מצד תומכיו בגבעת הקפיטל לאחר ההפסד בבחירות מול המועמד הדמוקרטי, ג'ו ביידן.	Tesla and SpaceX owner Elon Musk, who recently bought Twitter in a deal valued at 4 44 billion, said Tuesday that he plans to return Trump to the social network, which blocked him while he was president, after a riot by his supporters on Capitol Hill following his election loss to Democratic candidate Joe Biden.	yes
"אני כן חושב שזה לא היה נכון לאסור את דונלד טראמפ.	"I do think it was wrong to ban Donald Trump.	yes
אני חושב שזו הייתה טעות", אמר.	I think it was a mistake," he said.	yes
"אם יש ציוצים שגויים ורעים, יש למחוק אותם או להפוך אותם לבלתי נראים, והשעיה - השעיה זמנית - היא ראויה, אך לא איסור קבוע", הבהיר מאסק.	"If there are wrong and bad tweets, they should be deleted or made invisible, and a suspension - a temporary suspension - is appropriate, but not a permanent ban," Musk said.	yes
עד 2050: העולם יאבד 80% מהמים הזמינים לחקלאות	By 2050, the world will lose 80% of the water available for agriculture.	yes
מחקר עולמי חדש צופה ירידה משמעותית ב-25 השנים הקרובות •	New global study predicts major decline in next 25 years •	yes
הפתרון: ניהול נכון של מאגרי המים	The Solution: Proper management of water reserves	yes
מחקר חדש ומטריד שפורסם לאחרונה בכתב העת Earth’s Future, צופה כי עד שנת 2050 כמות המים הזמינים לחקלאות תקטן בכ-80% במידה וקצב צריכת המים וגידול אוכלוסיית העולם יישארו במגמות השימוש הנוכחיות שלהן.	A disturbing new study published recently in the journal Earth's Future predicts that by 2050, the amount of water available for agriculture will decrease by about 80% if the pace of water consumption and population growth remain at their current usage trends.	yes
במחקר, בו השתתפו מדענים מכל סוכנויות המדע בעולם, סיכמו המדענים את כלל כמות מי הגשמים, הנהרות ומקורות המים המתוקים בעולם והשוו אותה לצורך של האנושות בחקלאות.	In the study, which involved scientists from all the world's scientific agencies, the scientists summarized the total amount of rainwater, rivers and freshwater sources in the world and compared it to humanity's need for agriculture.	yes
מסקנות המחקר העגומות מראות כי נכון לעכשיו קצב צריכת המים מכפיל את עצמו שוב ושוב ב-10 השנים האחרונות, כאשר במקביל ההתחממות הגלובלית גורמת להתמעטות כמות הגשמים באזורים חקלאיים ברחבי העולם.	The grim conclusions of the study show that currently the rate of water consumption has doubled over and over the past 10 years, with global warming causing fewer rainfall in agricultural areas around the world.	yes
על פי שכלול נתוני המחקר, 84% מהקרקעות המיועדות לחקלאות בעולם יחוו מחסור כבד במי גשמים.	According to the study, 84% of the land designated for agriculture in the world will experience heavy rainwater shortages.	yes
אחת המסקנות המרכזיות שעלו מהמחקר קוראת לחקלאים ברחבי העולם להתאים את החקלאות לשינויי האקלים ולעונות השנה, ולעבור לשיטות גידול שיקלו על המים לחדור לאדמה על מנת למנוע את תהליך אידוי המים שיוביל לבזבוז נרחב של מי גשמים.	One of the key conclusions of the study calls on farmers around the world to adapt agriculture to climate change and the seasons, and to move to growing methods that will make it easier for water to penetrate the soil in order to prevent the evaporation process that will lead to widespread waste of rainwater.	yes
כמו כן, החוקרים ממליצים לחקלאים העובדים בסמוך למקורות מים מלוחים, להשתמש בטכנולוגיות איסוף מי גשמים על מנת למנוע את זרימתם לים.	The researchers also recommend that farmers working near saltwater sources use rainwater collection technologies to prevent their flow to the sea.	yes
מידע על סטודנטים רבים מאוניברסיטת בר אילן דלף לרשת	Information about many Bar Ilan University students leaked online	yes
האקרים שתקפו את מאגר המידע של אוניברסיטת בר אילן לפני כמה שבועות איימו שיפרסמו את המידע על הסטודנטים אם לא יקבלו כופר כספי •	Hackers who attacked Bar Ilan University's database a few weeks ago threatened to publish the students ' information if they did not receive a ransom. •	yes
האיום מומש והמידע פורסם ברחבי הרשת.	The threat was realised and the information was posted across the network.	yes
