בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: three cheetah cubs were born in Iran	yes
"אני כן חושב שזה לא היה נכון לאסור את דונלד טראמפ.	"I do think it was wrong to arrest Donald Trump.	yes
אני חושב שזו הייתה טעות", אמר.	I think it was a mistake," he said.	yes
"אם יש ציוצים שגויים ורעים, יש למחוק אותם או להפוך אותם לבלתי נראים, והשעיה - השעיה זמנית - היא ראויה, אך לא איסור קבוע", הבהיר מאסק.	"If there are erroneous and bad Tweets, they should be deleted or made invisible, and a suspension — a temporary suspension — is appropriate, but not a permanent ban," Musk said.	yes
עד 2050: העולם יאבד 80% מהמים הזמינים לחקלאות	By 2050: The world will lose 80% of the water available for agriculture	yes
מחקר עולמי חדש צופה ירידה משמעותית ב-25 השנים הקרובות •	New global research predicts significant decline in next 25 years •	yes
הפתרון: ניהול נכון של מאגרי המים	The Solution: Proper Management of Water Reservoirs	yes
מחקר חדש ומטריד שפורסם לאחרונה בכתב העת Earth’s Future, צופה כי עד שנת 2050 כמות המים הזמינים לחקלאות תקטן בכ-80% במידה וקצב צריכת המים וגידול אוכלוסיית העולם יישארו במגמות השימוש הנוכחיות שלהן.	A disturbing new study recently published in the journal Earth's Future predicts that by 2050, the amount of water available for agriculture will decrease by about 80% if the pace of water consumption and global population growth remain at their current usage trends.	yes
במחקר, בו השתתפו מדענים מכל סוכנויות המדע בעולם, סיכמו המדענים את כלל כמות מי הגשמים, הנהרות ומקורות המים המתוקים בעולם והשוו אותה לצורך של האנושות בחקלאות.	In the study, in which scientists from all the world's scientific agencies participated, the scientists summarized the total amount of rainwater, rivers and freshwater sources in the world and compared it to humanity's need for agriculture.	yes
מסקנות המחקר העגומות מראות כי נכון לעכשיו קצב צריכת המים מכפיל את עצמו שוב ושוב ב-10 השנים האחרונות, כאשר במקביל ההתחממות הגלובלית גורמת להתמעטות כמות הגשמים באזורים חקלאיים ברחבי העולם.	The dismal conclusions of the study show that currently, the rate of water consumption has doubled repeatedly over the past 10 years, while at the same time global warming is causing less rainfall in agricultural areas around the world.	yes
על פי שכלול נתוני המחקר, 84% מהקרקעות המיועדות לחקלאות בעולם יחוו מחסור כבד במי גשמים.	According to the study data, 84% of the world's land designated for agriculture will experience a severe shortage of rainwater.	yes
אחת המסקנות המרכזיות שעלו מהמחקר קוראת לחקלאים ברחבי העולם להתאים את החקלאות לשינויי האקלים ולעונות השנה, ולעבור לשיטות גידול שיקלו על המים לחדור לאדמה על מנת למנוע את תהליך אידוי המים שיוביל לבזבוז נרחב של מי גשמים.	One of the main conclusions that emerged from the study calls on farmers around the world to adapt agriculture to climate change and seasons, and to switch to growing methods that will make it easier for water to penetrate the soil in order to prevent the water evaporation process that will lead to extensive waste of rainwater.	yes
כמו כן, החוקרים ממליצים לחקלאים העובדים בסמוך למקורות מים מלוחים, להשתמש בטכנולוגיות איסוף מי גשמים על מנת למנוע את זרימתם לים.	The researchers also recommend that farmers working near saltwater sources use rainwater collection technologies to prevent it from flowing into the sea.	yes
מידע על סטודנטים רבים מאוניברסיטת בר אילן דלף לרשת	Information about many students from Bar Ilan University leaked online	yes
האקרים שתקפו את מאגר המידע של אוניברסיטת בר אילן לפני כמה שבועות איימו שיפרסמו את המידע על הסטודנטים אם לא יקבלו כופר כספי •	Hackers who attacked Bar-Ilan University's database a few weeks ago threatened to publish the information about the students if they did not receive a monetary ransom •	yes
האיום מומש והמידע פורסם ברחבי הרשת.	The threat was realized and the information was published throughout the network.	yes
סטודנטים באוניברסיטת בר אילן נמצאים תחת מתקפת האקרים כאשר המידע האישי שלהם פורסם ברחבי הרשת על ידי תוקף רשת המכונה Darkrypt ואשר פרסם לפני מספר שבועות דרישת כופר מאנשי האוניברסיטה ואיים שאם לא ישולם לו סכום כסף לא ברור, הוא יפרסם את המידע שנמצא תחת שליטתו.	Students at Bar-Ilan University are under attack by hackers when their personal information is published across the web by a network attacker known as Darkrypt, who a few weeks ago issued a ransom demand from university personnel and threatened that if he was not paid an unclear amount of money, he would publish the information under his control.	yes
ההערכות לגבי סכום הכסף אותו דרש התוקף הן שמדובר בסכום שהחל באלפי דולרים וככל שהשעון נקף, הוא עלה ולפני שהמידע פורסם הוא כבר הגיע לכמה מיליוני דולרים.	Estimates of the amount of money demanded by the attacker are that it began at thousands of dollars, and as the clock ticked, it increased, and before the information was published, it had already reached several million dollars.	yes
קבוצות פייסבוק של סטודנטים מהאוניברסיטה ושל אנשי הסגל מלאות בהודעות זועמות והבלגן חוגג שם, כאשר סטודנטים לא מצליחים להיכנס אל מערכות המידע האישי שלהם ולא יכולים לבצע מטלות סטודנטיאליות שוטפות.	Facebook groups of university students and faculty are full of angry messages and chaos is rife there, with students unable to access their personal information systems and unable to perform routine student assignments.	yes
האוניברסיטה שלחה בתפוצת דואר אלקטרוני הודעה בה נמסר על התקיפה שעבר המוסד האקדמי ועל כך שהם פועלים באופן אינטנסיבי על מנת לצמצם את הנזק, תוך כדי שהם מפרטים חלק מהמידע שדלף לרשת.	The university sent an e-mail message announcing the attack on the academic institution and that they were working intensively to minimize the damage, while detailing some of the information that leaked online.	yes
לא נמסרו הנחיות מיוחדות לאלו שהמידע שלהם נפרץ ונאמר שם שהאוניברסיטה ביצעה שורה של פעולות לחיזוק של אמצעי האבטחה של שרתי האוניברסיטה.	No special instructions were given to those whose information was hacked, and it said that the university had taken a series of actions to strengthen the security measures of the university's servers.	yes
בשורה ל-40 יישובים: הסיב האופטי מגיע לבנימין	Gospel for 40 communities: The optic fiber reaches Binyamin	yes
מגמת רישות הפריפריה באינטרנט מהיר ממשיכה וכעת הסיב האופטי מגיע למועצת בנימין הכוללת 40 יישובים •	The trend of networking in the periphery with high-speed internet continues, and now the optical fiber reaches the Binyamin Council, which includes 40 communities •	yes
הפרויקט בשיתוף המועצה וחברות התקשורת טלראן, X-Fiber ואינטרנט רימון ייצא לדרך מייד אחרי החגים.	The project, in cooperation with the council and communications companies Telran, X-Fiber and Internet Rimon, will be launched immediately after the holidays.	yes
מועצת בנימין חתמה בסוף השבוע על הסכם רחב מסוגו להנחת סיבים אופטיים בכל יישובי המועצה.	Over the weekend, the Binyamin Council signed a large-scale agreement to lay optical fibers in all of the council's communities.	yes
ההסכם עם מיזם ׳נט-פייבר’ בשיתוף אינטרנט ׳רימון׳, חברת ׳טלראן׳ וחברת X-Fiber נחתם לאחר סיומו של מכרז גדול עליו עמלו במועצה בחודשים האחרונים.	The agreement with the Net-Fiber project in cooperation with the Internet Rimon, Telaran and X-Fiber was signed after the conclusion of a large tender that the Council has been working on in recent months.	yes
העבודות יחלו לאחר החגים ותושבים מ-40 יישובי המועצה שיהיו מעוניינים להתחבר לתשתית הסיב האופטי יהנו ממהירויות גבוהות של עד 1 ג'יגה וכן מציוד קצה מתקדם לבית שיאפשר קליטת WIFI חזקה, כנדרש בזמנים אלה.	The work will begin after the holidays and residents of the 40 council communities who are interested in connecting to the fiber optic infrastructure will enjoy high speeds of up to 1 gigabyte as well as advanced home end equipment that will enable strong WIFI reception, as required during these times.	yes
המצטרפים יוכלו לבחור בין אינטרנט מהיר על גבי סיבים אופטיים או באינטרנט מסונן מהיר על גבי סיבים אופטיים אותו יספקו באינטרנט רימון.	Participants will be able to choose between high-speed internet over fiber optic or high-speed filtered internet over fiber optics, which will be provided by Rimon.	yes
המועצה הקפידה על כך שהשוק ישאר פתוח לתחרות בכל מצב.	The Council made sure that the market remained open to competition under any circumstances.	yes
ראש המועצה האזורית בנימין, ישראל גנץ: "זו ציונות אמיתית.	Binyamin Regional Council head Israel Gantz: "This is true Zionism.	yes
זו בשורה גדולה לתושבים.	This is great news for the residents.	yes
חווית החיים בבנימין תשתפר, התלמידים יוכלו ללמוד מרחוק אם צריך, יהיה ניתן לעבוד מהבית ולהקים עסקים מתקדמים ביישובים שיזכו לאינטרנט איכותי ובלי עיכובים.	The life experience in Binyamin will improve, students will be able to learn remotely if necessary, it will be possible to work from home and establish advanced businesses in communities that will receive quality internet and without delays.	no
אני רוצה לאחל הצלחה לחברות היקרות במשימות הביצוע ביישובים.	I would like to wish success to the dear companies in the implementation tasks in the communities.	no
התושבים מחכים לכם".	The residents are waiting for you."	no
גנץ הוסיף: "בקרוב נזכה לתנאים ראויים של אינטרנט מהיר מהטובים ביותר בישראל.	Gantz added: "Soon we will receive proper conditions of the best high-speed internet in Israel.	no
עמלנו חודשים רבים להבאת בסיס להתקנת הסיבים וכעת החזון הופך למציאות.	We worked for many months to provide a basis for installing the fibers and now the vision is becoming a reality.	no
אני מודה לשר התקשורת יועז הנדל שהתחיל איתנו עוד בקדנציה הקודמת שלו את הפרויקט וכעת אנו קוצרים את פירות העמל, לצוות שר התקשורת, אנשי המועצה שהיו אמונים על פרטי המרכז ולמנכ"לי החברות שזכו במרכז על איכות מקצועית מהטובות בישראל."	I thank Minister of Communications Yoaz Hendel, who started the project with us during his previous term and we are now reaping the fruits of our labor, the staff of the Minister of Communications, the council members who were in charge of the details of the center, and the CEOs of the companies that won the center for the best professional quality in Israel."	no
מנכ"ל אינטרנט רימון, יריב פאר: "אני מודה לראש המועצה ישראל גנץ וצוותו שהרימו מיד את הכפפה על מנת להביא בשורה לאלפי תושבי המועצה שיעברו לשימוש באינטרנט מהיר שישדרג את איכות החיים בתחומי החינוך, הכלכלה וכמובן הפנאי."	Internet Rimon CEO Yariv Pe'er said, "I thank Mayor Israel Gantz and his team for immediately raising the gauntlet in order to bring good news to thousands of council residents who will switch to high-speed internet that will upgrade the quality of life in education, economics and of course leisure."	no
מנכ"ל קבוצת התקשורת 'טלראן', שי אסלן: "אנו שמחים על החלטת מועצת בנימין להתחבר לתשתיות אינטרנט מהיר ועוצמתי ואני בטוח כי בזכות ניסיון הרב של הקבוצה נוכל להעניק לתושבים אינטרנט מהיר בדיוק כמו במרכז הארץ."	Shai Aslan, CEO of Telran Communications Group: "We are pleased with the Binyamin Council's decision to connect to high-speed and powerful internet infrastructures and I am confident that thanks to the group's extensive experience, we will be able to provide residents with high-speed internet just like in the center of the country."	no
מנכ"ל אקס-פייבר, ישראל אליצור: "הקמת תשתיות תקשורת בבנימין היא הציונות של שנת 2021, אקס-פייבר גאה לקחת חלק בהקמת התשתית החדישה באיזורים התנכיים של בנימין, אין לי ספק כי בזכות ההיכרות שלנו עם שטחי יו"ש בכלל ובנימין בפרט נעמוד בכל אתגר הנדסי על מנת להביא את האינטרנט המהיר לכל בית ברחבי המועצה".	X-Fiber CEO, Israel Elitzur: "The establishment of communications infrastructures in Binyamin is the Zionism of 2021, X-Fiber is proud to take part in the establishment of the state-of-the-art infrastructure in the Biblical areas of Binyamin, I have no doubt that thanks to our familiarity with Judea and Samaria in general and Binyamin in particular, we will meet any engineering challenge in order to bring high-speed internet to every home throughout the Council."	no
בדקנו: מה אומרות תופעות הלוואי שאחרי חיסון הקורונה?	We checked: What do the side effects after the COVID-19 vaccine say?	yes
אנשים רבים שמתחסנים מרגישים חולשה, חום ועייפות לאחר קבלת הזריקה, בעוד שאחרים אינם חשים בדבר •	Many people who are vaccinated feel weak, fever and fatigue after receiving the shot, while others feel nothing •	yes
האם זה יכול להצביע על מערכת חיסונית חזקה יותר של אלה שכן חווים תופעות אלו, או שמדובר בשמועה משוללת יסוד?	Could this indicate a stronger immune system of those who do experience these symptoms, or is it a baseless rumor?	yes
בעוד יותר ויותר אנשים מתחסנים, ממשיך חוסר המידע על אודות תופעות הלוואי לבלבל וליצור שמועות, שרובן אינן נכונות.	As more and more people get vaccinated, the lack of information about side effects continues to confuse and create rumors, most of which are untrue.	yes
האם המערכת החיסונית של אלה שפיתחו תופעות לוואי חזקה יותר מאשר אלה שגופם הגיב פחות בחומרה לחיסון, מה שאולי יכול להוכיח שהמערכת שלהם לא מצליחה להיאבק בגוף זר שנכנס לגוף?	Is the immune system of those who develop side effects stronger than those whose bodies reacted less severely to the vaccine, which may prove that their system is unable to fight off a foreign body entering the body?	yes
"יש כמה רמות של תגובות לחיסון", אומר ד"ר דוד דביר, ראש אגף רפואה ראשונית במאוחדת וחבר בוועדה המייעצת לצט"מ (צוות טיפול במגיפות), ומרגיע: "כאבי ראש, עייפות, כאבים במקום, אלו התגובות המיידיות של מערכת החיסון.	"There are several levels of reactions to the vaccine," says Dr. David Dvir, head of primary care at Meuhedet and a member of the advisory committee for the TSAM (Epidemic Treatment Team), and reassures: "Headaches, fatigue, pain on the spot, these are the immediate responses of the immune system.	yes
כך הגוף מגיב בכניסה של גוף זר למערכת".	This is how the body responds when a foreign body enters the system."	yes
יש קשר בין רמות הנוגדנים שמפתחים לתופעות הלוואי?	Is there a connection between the levels of antibodies that develop and the side effects?	yes
"אין קורלציה בין התחושות לפיתוח נוגדנים נגד הווירוס.	"There is no correlation between feelings and the development of antibodies against the virus.	yes
כ־60%-50% חשים בתופעות הלוואי, אבל כ־90% מפתחים הגנה נגד הווירוס.	About 50-60% feel the side effects, but about 90% develop protection against the virus.	yes
לא נמצא שאנשים שפיתחו תגובות חזקות מוגנים יותר".	People who developed strong responses were not found to be more protected."	no
"בספרות הרפואית לא מופיעה קורלציה בין תגובה מיידית לרמת החיסון.	"There is no correlation between immediate response and vaccination level in the medical literature.	no
בחלק מהניסויים שבהם אנשים קיבלו גם חיסוני פלצבו, כרבע מהם פיתחו כאבי ראש.	In some trials in which people were also given placebo vaccines, about a quarter of them developed headaches.	no
זהו גם מרכיב נפשי - איך האדם תופס את החיסון, אם הוא מצפה שיהיו תופעות לוואי.	It is also a mental component - how the person perceives the vaccine, if he expects there to be side effects.	no
הרבה מהתופעות שקורות יכלו לקרות גם באופן רגיל, אבל מכיוון שהציבור חוסן הוא מייחס את התגובה לחיסון עצמו, וזו הטייה שרואים בנוגע לחיסונים באופן כללי - ייחוס של תופעות שקורות בסמוך לחיסון ומיוחסות אליו".	Many of the phenomena that happen could also happen normally, but since the public has been vaccinated, it attributes the response to the vaccine itself, and this is a bias that you see with vaccines in general – attribution of phenomena that happen close to the vaccine and are attributed to it."	no
לפי ד"ר דביר, הסיבות לתופעות הרווחות המדווחות, כמו חולשה וכאבי ראש, אינן ידועות עדיין.	According to Dr. Dvir, the reasons for the commonly reported symptoms, such as weakness and headaches, are still unknown.	no
בנוגע לדלקת שריר הלב (מיוקרדיטיס), הדעות חלוקות.	Regarding myocarditis (myocarditis), opinions are divided.	no
"יש כל מיני תיאוריות בנושא, אבל יש לציין שהווירוס עצמו גורם לשיעורים גבוהים יותר של מיוקרדיטיס מאשר החיסון.	"There are all kinds of theories on the subject, but it should be noted that the virus itself causes higher rates of myocarditis than the vaccine.	no
אחת התיאוריות היא שזו תגובה חזקה של מערכת החיסון".	One theory is that it's a strong immune system response."	no
יש בכלל אפשרות להעריך חוזק של מערכת חיסון?	Is it even possible to assess the strength of an immune system?	no
"כשחשפו סטודנטים לנגיף השפעת, הראו שאלה שלא ישנו או שהיו בלחץ גבוה יותר היו יותר פגיעים להידבקות.	"When students were exposed to the flu virus, it was shown that those who did not sleep or were under higher stress were more vulnerable to infection.	no
מלבד זאת, יש פרמטרים מעבדתיים שבודקים את המערכת החיסונית או את המרכיבים שלה.	Apart from that, there are laboratory parameters that check the immune system or its components.	no
כשיש ירידה במערכת החיסון, רואים את זה מייד.	When there is a decline in the immune system, you see it immediately.	no
אנשים חוטפים הרבה מחלות ויראליות או זיהומיות.	People get a lot of viral or infectious diseases.	no
זה לא שמישהו מסתובב עם מערכת חיסונית חלשה ולא מודע לזה.	It's not like someone walks around with a weak immune system and isn't aware of it.	no
אלה אנשים שמגיעים לבירורים בגלל אירועים חוזרים ונשנים של מחלות זיהומיות, ומה שמשפיע על המערכת הם דברים בנאליים: לחץ, תזונה, שינה.	These are people who come to inquiries because of repeated episodes of infectious diseases, and what affects the system are banal things: stress, nutrition, sleep.	no
אגב, אנחנו גם לא רוצים מערכת חיסון חזקה מדי, כי היא יכולה לגרום למחלות אוטואימוניות".	By the way, we also don't want an immune system that is too strong, because it can cause autoimmune diseases."	no
בקרוב חיסוני MRNA יופיעו בהקשרים נוספים, וזאת הודות לידע הרב שהצטבר לגביהם בתקופה האחרונה.	MRNA vaccines will soon appear in additional contexts, thanks to the vast knowledge accumulated about them in recent times.	no
"אין ספק שייסלל פתח לחיסונים אחרים מהסוג הזה.	"There is no doubt that there will be an opening for other vaccines of this kind.	no
בודקים את הטכנולוגיה הזו להרבה מאוד שימושים מעבר לחיסונים - לטיפולים במחלות אונקולוגיות, למשל.	This technology is being tested for many uses beyond vaccines – for treating oncological diseases, for example.	no
היעילות שלהם היא שהחומר נשאר מעט מאוד זמן בגוף - נכנס, עושה את הפעולה שלו, ואז מתפרק.	Their effectiveness is that the substance remains for very little time in the body - enters, does its action, and then decomposes.	no
הטכנולוגיה הזו לא חדשה, אבל היא קיבלה בוסט רציני בעקבות הצורך המאוד גדול בחיסון מהיר.	This technology is not new, but it has received a serious boost due to the very great need for rapid vaccination.	no
עכשיו, למשל, אנחנו יודעים שמרווח של שלושה שבועות בין מנה למנה הוא קטן מדי, וחלק ממומחי החיסונים טוענים שיכול להיות שאחרי מנה שלישית לא נצטרך עוד חיסון בטווח הקרוב, כך שלא ברור אם אנחנו הולכים למצב של חיסון מדי חצי שנה או שהמנה השלישית תיתן מרווח גדול יותר".	Now, for example, we know that the three-week interval between doses is too small, and some vaccine experts claim that after the third dose we may not need another vaccine in the near term, so it is not clear whether we are going to be vaccinated every six months or whether the third dose will give a larger margin."	no
אלפים נפגעו: מחדל פרטיות חמור בכביש 6	Thousands affected: Serious privacy lapse on Highway 6	yes
לקוחות כביש 6?	Highway 6 customers?	yes
ייתכן שמידע פרטי שלכם, הכולל שם מלא, כתובות, סכומי תשלום ופרטים מלאים על הנסיעות שערכתם, נחשף •	Your private information, including your full name, addresses, payment amounts and full details of your trips, may have been disclosed •	yes
לטענת הרשות להגנת הפרטיות, חברת דרך ארץ הפרה את חוק הגנת הפרטיות ותקנותיו.	According to the Privacy Protection Authority, Derech Eretz violated the Protection of Privacy Law and its regulations.	yes
לאחר דיווח שהעבירה חברת דרך ארץ, מפעילת כביש 6 בישראל, על אירוע אבטחה שהתרחש בחברה, החלה הרשות להגנת הפרטיות בהליך אכיפה.	Following a report by Derech Eretz, the operator of Highway 6 in Israel, about a security incident that took place at the company, the Privacy Protection Authority began an enforcement process.	yes
במסגרת האירוע התגלו חולשות אבטחה באתר התשלומים שלה, אשר אפשרו חשיפה של מידע רב מתוך החשבוניות של לקוחות החבר, שהיו חשופות לעיני כל.	As part of the incident, security vulnerabilities were discovered in its payment site, which enabled the exposure of a large amount of information from the invoices of the friend's customers, which were exposed for all to see.	yes
בין היתר, נחשפו חשבוניות התשלום של הלקוחות לאורך תקופה לא קצרה וחשבוניות אלו כללו מידע אישי, לרבות שם פרטי ומשפחה, סכומי תשלום, מיקום הרכב, תאריכי הנסיעות ובאילו שעות.	Among other things, customers' payment invoices were exposed over a short period of time, and these invoices included personal information, including first and last name, payment amounts, vehicle location, travel dates and at what times.	yes
נוסף על כך, מכיוון שחברת דרך ארץ לא תיעדה כנדרש בחוק את הגישה למערכותיה, לא ניתן לדעת בצורה מדויקת במשך איזו תקופה יכלו גורמים שאינם מורשים לגשת למערכות החברה.	In addition, since Derech Eretz did not document access to its systems as required by law, it is impossible to know precisely for what period of time unauthorized parties could access the company's systems.	yes
במכתב ההפרה, שהעבירה הרשות להגנת הפרטיות לחברה, הדגישה הרשות כי רוב החברות והארגונים הגדולים במשק נדרשים לנקוט מדיניות אבטחת מידע דינמית, וכי עם התפתחותם של איומים וסיכונים, על הארגון חלה חובה לבחון בקפדנות את הסיכונים המתעדכנים ולפעול בהתאם לעדכון אמצעי האבטחה המקובלים בנסיבות העניין, בהתאם לאופי המאגר וטיבו.	In the infringement letter sent by the Privacy Protection Authority to the company, the Privacy Protection Authority emphasized that most large companies and organizations in the economy are required to adopt a dynamic information security policy, and that as threats and risks develop, the organization is obligated to carefully examine the risks that are updated and act in accordance with updating the security measures accepted under the circumstances, in accordance with the nature and nature of the database.	yes
כתוצאה מכך, חלה על חברות וארגונים החובה לעדכן את מערכותיהם ולערוך סקרי סיכונים ומבדקי חדירות, כדי לבחון את הסיכונים המשתנים ולהיערך להם.	As a result, companies and organizations are obligated to update their systems and conduct risk surveys and penetration tests, in order to examine and prepare for the changing risks.	yes
כמו כן, חלה חובה על חברות וארגונים להשתמש במנגנון תיעוד אוטומטי ויש לערוך הדרכות לעובדים, בהתאם להוראות תקנות הגנת הפרטיות (אבטחת מידע).	In addition, companies and organizations are obligated to use an automatic documentation mechanism and training should be conducted for employees, in accordance with the provisions of the Privacy Protection Regulations (Information Security).	no
בהתאם לממצאי הפיקוח קבעה הרשות כי החברה הפרה את הוראות חוק הגנת הפרטיות ותקנותיו וכן דרשה מהחברה לבצע מספר פעולות מתקנות.	In accordance with the findings of the Banking Supervision Department, the Authority determined that the company violated the provisions of the Protection of Privacy Law and its regulations, and demanded that the company take a number of corrective actions.	no
מחברת דרך ארץ, מפעילת כביש 6 נמסר: "הנושא טופל בהתאם לדרישות המחמירות ביותר"	Derech Eretz, the operator of Highway 6, said: "The matter was handled in accordance with the strictest requirements."	no
אזהרת המסע לאיסטנבול: בשורה מפתיעה לישראלים מחברות התעופה הטורקיות	Travel Warning to Istanbul: Surprising News for Israelis from Turkish Airlines	yes
חברות טורקיש איירליינס ופגסוס יאפשרו לישראלים להחליף יעד או מועד לטיסה שברשותם	Turkish Airlines and Pegasus will allow Israelis to change their destination or flight date	yes
בשורה לישראלים שהזמינו כרטיסים לטורקיה לפני אזהרת המסע: חברות התעופה יאפשרו להחליף את מועדי הטיסה.	Good news for Israelis who booked tickets to Turkey before the travel warning: the airlines will allow changing flight dates.	yes
תזכורת: מוקדם יותר השבוע המטה ללוחמה בטרור העלה לדרגה ארבע את חומרת אזהרת המסע לאיסטנבול.	Reminder: Earlier this week, the Counterterrorism Headquarters raised the severity of the travel warning to Istanbul to level four.	yes
זוהי הרמה הגבוהה ביותר ומשמעותה "רמת איום גבוהה: אין להגיע למדינה זו ובמקרה של שהייה יש לעזוב את המדינה בהקדם".	This is the highest level and means "high threat level: do not come to this country and in case of stay leave the country as soon as possible."	yes
טורקיש איירליינס ופגסוס מסרו כי הן יאפשרו לישראלים שהזמינו את טיסתם לפני צאת אזהרת המסע, כלומר לפני התאריך 13.6.22, להחליף את יעד או מועד הטיסה שברשותם.	Turkish Airlines and Pegasus said they would allow Israelis who booked their flights before the travel warning was issued, i.e., before June 13, 2022, to change their destination or flight date.	yes
זאת באמצאות פנייה לחברת התעופה.	This is done by contacting the airline.	yes
שר התיירות רזבוזוב אמר: "אזרחי ישראל לא צריכים לשלם מחיר כלכלי בגלל איומי טרור.	Tourism Minister Razvozov said: "The citizens of Israel should not pay an economic price because of terrorist threats.	yes
אני שמח שחברות תעופה גדולות כמו טורקיש אירליינס ופגסוס נענו לבקשתנו ואני מקווה שחברות נוספות יתנו מענה דומה לכל אזרחי ישראל שביטלו את החופשה בטורקיה בגלל אזהרת המסע החמורה".	I am pleased that large airlines such as Turkish Airlines and Pegasus have responded to our request and I hope that other airlines will provide a similar response to all Israeli citizens who canceled their vacation in Turkey because of the severe travel warning."	yes
מתלבטים לאן לטוס בקיץ?	Wondering where to fly in the summer?	yes
נטפליקס תציע סיורים בחינם באירופה בעקבות סדרות אהובות	Netflix will offer free tours of Europe following favorite shows	yes
המטבעה המלכותית מ"בית הנייר", ארמון בקינגהאם מ"הכתר", או בכלל תעלת סן מרטין מ"אמילי בפריז" - ערי אירופה יחכו לכם •	The Royal Mint from "Paper House", Buckingham Palace from "The Crown", or even Canal Saint-Martin from "Emily in Paris" - European cities will be waiting for you •	yes
סיורים חינמיים בלוקיישנים של הסדרות הפופולריות ביותר של שירות הסטרימינג.	Free tours of the streaming service's most popular shows.	yes
מחפשים חופשה לא שגרתית לקיץ הקרוב?	Looking for an unusual vacation for the coming summer?	yes
ובכן, מה דעתכם לצאת לסיורים חינמיים בעקבות גיבורי הסדרות האהובות של נטפליקס?	Well, how about taking free tours in the footsteps of the heroes of the beloved Netflix series?	yes
כן, החברה החליטה לצאת מהמסך אל הרחוב, ולהציע לכם סיורים חינמיים בלונדון, פריז ומדריד בעקבות הסדרות האהובות.	Yes, the company decided to step out of the screen and onto the street, and offer you free tours of London, Paris and Madrid following the favorite series.	yes
בפריז תוכלו לסייר בעקבות גיבורת הסדרה "אמילי בפריז", או בעקבות גיבורי הסדרה "לופן"; בלונדון תלכו יד ביד עם גיבורי וגיבורות הסדרות "הכתר" ו"ברידג'רטון"; ובמדריד תצאו בעקבות גיבורי "בית הנייר" ו"אליטה".	In Paris you can tour in the footsteps of the heroine of the series "Emily in Paris", or in the footsteps of the heroes of the series "Lupin"; In London, you'll go hand in hand with the heroes and heroines of "The Crown" and "Bridgerton"; And in Madrid you will follow in the footsteps of the heroes of "Paper House" and "Elite".	yes
הסיורים המוצעים יתרחשו בין 11 ל-17 ביולי בלונדון, בפריז ובמדריד, ויועברו על ידי מדריכים מקומיים בשיתוף חברת הסיורים SANDEMANs, בשפה האנגלית.	The tours will take place between July 11 and 17 in London, Paris and Madrid, and will be led by local guides in association with SANDEMANs, an English-language tour company.	yes
אז אם אתם בעניין ויש לכם "קראש" על אחת הסדרות האלו - ולרבים יש - תוכלו כעת ללכת באתרים ההיסטוריים ובערים האירופיות המיוחדות האלו, ולא תצטרכו ללכת לאיבוד או להתמצא לבד באתרים השונים.	So if you're into it and have a crush on one of these series - and many have - you can now walk through these historical sites and special European cities, and you won't have to get lost or find your way around the various sites alone.	yes
כל מה שצריך זה להגיע בתאריכים האלו, עם ידע בסיסי באנגלית, ולצעוד עם המדריכים.	All you need is to arrive on these dates, with basic knowledge of English, and walk with the guides.	no
לפרטים נוספים על הסיורים, וכן לכלל הסדרות של החברה שרצות כיום, ניתן להיכנס אל הלינק הבא: https://netflix.neweuropetours.eu/	For more details about the tours, as well as for all of the company's series that are currently running, you can visit the following link: https://netflix.neweuropetours.eu/	no
שמי סעודיה מתקרבים: החברות הישראליות מתכוננות לתגבר קווים למזרח	Saudi skies are approaching: Israeli companies are preparing to reinforce routes to the east	yes
הסיכום המתגבש לחופש טיסה מורחב מעל סעודיה: חברת התעופה נערכת להשקת טיסות חדשות למזרח הרחוק על חשבון יעדים באירופה	The emerging conclusion for an expanded flight freedom over Saudi Arabia: the airline is preparing to launch new flights to the Far East at the expense of destinations in Europe	yes
בחברת התעופה הגדולה בישראל מתכננים שינויים משמעותיים לקראת הגעת נשיא ארה"ב ג'ו ביידן לישראל.	Israel's largest airline is planning significant changes ahead of US President Joe Biden's arrival in Israel.	yes
כפי שפרסמנו ב"ישראל היום", ההערכה היא שביידן יכריז על מתן אישור לאל על ולכל חברות התעופה הישראליות לטוס מעל סעודיה ליעדים נוספים מלבד איחוד האמירויות.	As we reported in Israel Hayom, it is believed that Biden will announce the granting of permission to El Al and all Israeli airlines to fly over Saudi Arabia to destinations other than the United Arab Emirates.	yes
המשמעות של ההסכם המתגבש היא שאל על תוכל לטוס בנתיבים קצרים יותר ליעדי המזרח הרחוק ולאוסטרליה.	The agreement that is being formulated means that El Al will be able to fly shorter routes to destinations in the Far East and Australia.	yes
לשם כך, החברה תצטרך לבטל טיסות ליעדים פחות רווחיים, וזאת כדי לפנות מטוסים לטובת יעדים חדשים.	To do so, the airline will have to cancel flights to less profitable destinations in order to free up planes for new destinations.	yes
היעדים שהטיסות אליהם יבוטלו החל מחודש נובמבר הקרוב הם ורשה, טורונטו ובריסל.	The destinations to which flights will be canceled starting this November are Warsaw, Toronto and Brussels.	yes
