בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Bird Cubs Born in Iran	yes
במחקר, בו השתתפו מדענים מכל סוכנויות המדע בעולם, סיכמו המדענים את כלל כמות מי הגשמים, הנהרות ומקורות המים המתוקים בעולם והשוו אותה לצורך של האנושות בחקלאות.	In the study, which involved scientists from all the world's science agencies, scientists summarized the total amount of rainwater, rivers and freshwater resources in the world and compared it to humanity's need for agriculture.	yes
מסקנות המחקר העגומות מראות כי נכון לעכשיו קצב צריכת המים מכפיל את עצמו שוב ושוב ב-10 השנים האחרונות, כאשר במקביל ההתחממות הגלובלית גורמת להתמעטות כמות הגשמים באזורים חקלאיים ברחבי העולם.	The grim findings of the study show that the rate of water consumption is now doubling over and over again in the last 10 years, while global warming is causing less rainfall in agricultural areas around the world.	yes
על פי שכלול נתוני המחקר, 84% מהקרקעות המיועדות לחקלאות בעולם יחוו מחסור כבד במי גשמים.	According to the study's data, 84 percent of the world's agricultural land will experience severe rainwater shortages.	yes
אחת המסקנות המרכזיות שעלו מהמחקר קוראת לחקלאים ברחבי העולם להתאים את החקלאות לשינויי האקלים ולעונות השנה, ולעבור לשיטות גידול שיקלו על המים לחדור לאדמה על מנת למנוע את תהליך אידוי המים שיוביל לבזבוז נרחב של מי גשמים.	One of the key findings from the study is that farmers around the world should adapt their farming to climate change and seasonal changes, and switch to farming methods that focus on water infiltration into the soil to prevent the process of water depletion that leads to widespread waste of rainwater.	yes
כמו כן, החוקרים ממליצים לחקלאים העובדים בסמוך למקורות מים מלוחים, להשתמש בטכנולוגיות איסוף מי גשמים על מנת למנוע את זרימתם לים.	The researchers also recommend that farmers working near saltwater sources use rainwater harvesting technologies to prevent it from flowing into the sea.	yes
מידע על סטודנטים רבים מאוניברסיטת בר אילן דלף לרשת	Information about many students from Bar-Ilan University leaked online	yes
האקרים שתקפו את מאגר המידע של אוניברסיטת בר אילן לפני כמה שבועות איימו שיפרסמו את המידע על הסטודנטים אם לא יקבלו כופר כספי •	Hackers who attacked the Bar-Ilan University database a few weeks ago threatened to publish the students' information unless they received a ransom.	yes
האיום מומש והמידע פורסם ברחבי הרשת.	The threat was carried out and the information was published all over the Internet.	yes
סטודנטים באוניברסיטת בר אילן נמצאים תחת מתקפת האקרים כאשר המידע האישי שלהם פורסם ברחבי הרשת על ידי תוקף רשת המכונה Darkrypt ואשר פרסם לפני מספר שבועות דרישת כופר מאנשי האוניברסיטה ואיים שאם לא ישולם לו סכום כסף לא ברור, הוא יפרסם את המידע שנמצא תחת שליטתו.	Students at Bar-Ilan University are under attack by hackers when their personal information is published online by a cyber-attacker called Darkrypt who posted a ransom demand from the university a few weeks ago and threatened to release the information under his control if he is not paid an unspecified amount of money.	yes
ההערכות לגבי סכום הכסף אותו דרש התוקף הן שמדובר בסכום שהחל באלפי דולרים וככל שהשעון נקף, הוא עלה ולפני שהמידע פורסם הוא כבר הגיע לכמה מיליוני דולרים.	Estimates of the amount of money the attacker demanded are that it started in the thousands of dollars and as the clock ticked, it went up and before the information was released it was already in the millions of dollars.	yes
קבוצות פייסבוק של סטודנטים מהאוניברסיטה ושל אנשי הסגל מלאות בהודעות זועמות והבלגן חוגג שם, כאשר סטודנטים לא מצליחים להיכנס אל מערכות המידע האישי שלהם ולא יכולים לבצע מטלות סטודנטיאליות שוטפות.	Facebook groups of university students and faculty are full of angry messages and chaos is celebrated there, as students are unable to log into their personal information systems and are unable to perform routine student tasks.	yes
האוניברסיטה שלחה בתפוצת דואר אלקטרוני הודעה בה נמסר על התקיפה שעבר המוסד האקדמי ועל כך שהם פועלים באופן אינטנסיבי על מנת לצמצם את הנזק, תוך כדי שהם מפרטים חלק מהמידע שדלף לרשת.	The university sent out an e-mail announcing the attack on the academic institution and that they were working intensively to mitigate the damage, while detailing some of the information leaked online.	yes
לא נמסרו הנחיות מיוחדות לאלו שהמידע שלהם נפרץ ונאמר שם שהאוניברסיטה ביצעה שורה של פעולות לחיזוק של אמצעי האבטחה של שרתי האוניברסיטה.	No specific instructions were given to those whose information was leaked and it said the university had taken a series of actions to strengthen the security measures of the university's ministers.	yes
בשורה ל-40 יישובים: הסיב האופטי מגיע לבנימין	In line for 40 settlements, optical fiber arrives in Benjamin	yes
מגמת רישות הפריפריה באינטרנט מהיר ממשיכה וכעת הסיב האופטי מגיע למועצת בנימין הכוללת 40 יישובים •	The trend of peripheral high-speed Internet access continues and now optical fiber is reaching the Council of 40 communities in Binyamin •	yes
הפרויקט בשיתוף המועצה וחברות התקשורת טלראן, X-Fiber ואינטרנט רימון ייצא לדרך מייד אחרי החגים.	The council's joint venture with Telran, X-Fiber and Internet Grenade will launch immediately after the holidays.	yes
מועצת בנימין חתמה בסוף השבוע על הסכם רחב מסוגו להנחת סיבים אופטיים בכל יישובי המועצה.	The Benjamin Council signed a wide-ranging agreement over the weekend to install fiber optics in all of the council's communities.	yes
ההסכם עם מיזם ׳נט-פייבר’ בשיתוף אינטרנט ׳רימון׳, חברת ׳טלראן׳ וחברת X-Fiber נחתם לאחר סיומו של מכרז גדול עליו עמלו במועצה בחודשים האחרונים.	The agreement with the NetFiber project in partnership with Internet Rimon, Telleran and X-Fiber was signed after a major bidding process was completed at the council in recent months.	yes
העבודות יחלו לאחר החגים ותושבים מ-40 יישובי המועצה שיהיו מעוניינים להתחבר לתשתית הסיב האופטי יהנו ממהירויות גבוהות של עד 1 ג'יגה וכן מציוד קצה מתקדם לבית שיאפשר קליטת WIFI חזקה, כנדרש בזמנים אלה.	Work will begin after the holidays and residents from 40 council towns who are interested in connecting to the fiber-optic infrastructure will enjoy high speeds of up to 1 giga as well as an advanced home edge that will allow for strong WIFI reception, as required during these times.	yes
המצטרפים יוכלו לבחור בין אינטרנט מהיר על גבי סיבים אופטיים או באינטרנט מסונן מהיר על גבי סיבים אופטיים אותו יספקו באינטרנט רימון.	Participants will be able to choose between high-speed fiber-optic Internet or high-speed fiber-optic filtered Internet provided by the Grenade Internet.	yes
המועצה הקפידה על כך שהשוק ישאר פתוח לתחרות בכל מצב.	The council made sure the market remained open to competition under any circumstances.	yes
ראש המועצה האזורית בנימין, ישראל גנץ: "זו ציונות אמיתית.	The head of the regional council in Benjamin, Israel Gantz: "This is real Zionism.	yes
זו בשורה גדולה לתושבים.	That's big news for the residents.	yes
חווית החיים בבנימין תשתפר, התלמידים יוכלו ללמוד מרחוק אם צריך, יהיה ניתן לעבוד מהבית ולהקים עסקים מתקדמים ביישובים שיזכו לאינטרנט איכותי ובלי עיכובים.	The experience of living in Binyamin will improve, students will be able to learn remotely if necessary, it will be possible to work from home and set up progressive businesses in communities that will have quality Internet without delays.	no
אני רוצה לאחל הצלחה לחברות היקרות במשימות הביצוע ביישובים.	I want to wish the cherished companies success in their assignments in the settlements.	no
התושבים מחכים לכם".	The people are waiting for you".	no
גנץ הוסיף: "בקרוב נזכה לתנאים ראויים של אינטרנט מהיר מהטובים ביותר בישראל.	Gantz added: "We will soon have decent conditions of the best high-speed Internet in Israel.	no
עמלנו חודשים רבים להבאת בסיס להתקנת הסיבים וכעת החזון הופך למציאות.	We've been working for many months to lay the foundation for the fiber installation and now the vision is becoming a reality.	no
אני מודה לשר התקשורת יועז הנדל שהתחיל איתנו עוד בקדנציה הקודמת שלו את הפרויקט וכעת אנו קוצרים את פירות העמל, לצוות שר התקשורת, אנשי המועצה שהיו אמונים על פרטי המרכז ולמנכ"לי החברות שזכו במרכז על איכות מקצועית מהטובות בישראל."	I thank the Minister of Communication Yowaz Handel who started the project with us in his previous term and now we are reaping the fruits of our labor, the Minister of Communication's team, the council members who were loyal to the details of the center and the CEOs of the companies that have won the center a professional quality among the best in Israel. "	no
מנכ"ל אינטרנט רימון, יריב פאר: "אני מודה לראש המועצה ישראל גנץ וצוותו שהרימו מיד את הכפפה על מנת להביא בשורה לאלפי תושבי המועצה שיעברו לשימוש באינטרנט מהיר שישדרג את איכות החיים בתחומי החינוך, הכלכלה וכמובן הפנאי."	Rimmon Internet CEO, Iriv Far: "I thank Council President Israel Gantz and his team for immediately lifting the gauntlet to bring the news to the thousands of Council residents who will switch to using high-speed Internet that will improve the quality of life in the fields of education, economy and of course leisure".	no
מנכ"ל קבוצת התקשורת 'טלראן', שי אסלן: "אנו שמחים על החלטת מועצת בנימין להתחבר לתשתיות אינטרנט מהיר ועוצמתי ואני בטוח כי בזכות ניסיון הרב של הקבוצה נוכל להעניק לתושבים אינטרנט מהיר בדיוק כמו במרכז הארץ."	Telran Communications Group CEO, Sheh Aslan: "We welcome the decision of the Binyamin Council to connect to high-speed and powerful internet infrastructure and I am confident that with the group's vast experience we can provide residents with high-speed internet just like in the center of the country".	no
מנכ"ל אקס-פייבר, ישראל אליצור: "הקמת תשתיות תקשורת בבנימין היא הציונות של שנת 2021, אקס-פייבר גאה לקחת חלק בהקמת התשתית החדישה באיזורים התנכיים של בנימין, אין לי ספק כי בזכות ההיכרות שלנו עם שטחי יו"ש בכלל ובנימין בפרט נעמוד בכל אתגר הנדסי על מנת להביא את האינטרנט המהיר לכל בית ברחבי המועצה".	X-Fiber CEO, Israel Elishor: "The establishment of communication infrastructure in Benjamin is the goal of 2021, X-Fiber is proud to take part in the establishment of the new infrastructure in the biblical areas of Benjamin, I have no doubt that thanks to our familiarity with the areas of YUSH in general and Benjamin in particular, we will meet any engineering challenge to bring high-speed Internet to every home across the council".	no
בדקנו: מה אומרות תופעות הלוואי שאחרי חיסון הקורונה?	We looked: What do the side effects of the coronavirus vaccine mean?	yes
אנשים רבים שמתחסנים מרגישים חולשה, חום ועייפות לאחר קבלת הזריקה, בעוד שאחרים אינם חשים בדבר •	Many people who inject feel weak, feverish, and tired after receiving an injection, while others do not feel a thing.	yes
האם זה יכול להצביע על מערכת חיסונית חזקה יותר של אלה שכן חווים תופעות אלו, או שמדובר בשמועה משוללת יסוד?	Could this indicate a stronger immune system in those who do experience these symptoms, or is this just a disproven rumor?	yes
בעוד יותר ויותר אנשים מתחסנים, ממשיך חוסר המידע על אודות תופעות הלוואי לבלבל וליצור שמועות, שרובן אינן נכונות.	While more and more people are vaccinated, the lack of information about side effects continues to confuse and create rumors, most of which are false.	yes
האם המערכת החיסונית של אלה שפיתחו תופעות לוואי חזקה יותר מאשר אלה שגופם הגיב פחות בחומרה לחיסון, מה שאולי יכול להוכיח שהמערכת שלהם לא מצליחה להיאבק בגוף זר שנכנס לגוף?	Is the immune system of those who developed side effects stronger than those whose bodies responded less severely to the vaccine, which may prove that their system is unable to fight off a foreign body entering the body?	yes
"יש כמה רמות של תגובות לחיסון", אומר ד"ר דוד דביר, ראש אגף רפואה ראשונית במאוחדת וחבר בוועדה המייעצת לצט"מ (צוות טיפול במגיפות), ומרגיע: "כאבי ראש, עייפות, כאבים במקום, אלו התגובות המיידיות של מערכת החיסון.	"There are several levels of responses to the vaccine", says Dr. David Devere, chief of primary care at the U.S. Centers for Disease Control and Prevention and a member of the CDC's Advisory Committee on Epidemiology, and reassuringly: "Headaches, fatigue, sore spots, these are the immediate responses of the immune system.	yes
כך הגוף מגיב בכניסה של גוף זר למערכת".	That's how the body responds to foreign bodies entering the system".	yes
יש קשר בין רמות הנוגדנים שמפתחים לתופעות הלוואי?	Is there a link between the levels of antibodies that develop and the side effects?	yes
"אין קורלציה בין התחושות לפיתוח נוגדנים נגד הווירוס.	"There's no correlation between sensitivity and the development of antibodies to the virus.	yes
כ־60%-50% חשים בתופעות הלוואי, אבל כ־90% מפתחים הגנה נגד הווירוס.	About 60 to 50 percent experience side effects, but about 90 percent develop immunity to the virus.	yes
לא נמצא שאנשים שפיתחו תגובות חזקות מוגנים יותר".	We didn't find that people who developed stronger responses were more protected".	no
"בספרות הרפואית לא מופיעה קורלציה בין תגובה מיידית לרמת החיסון.	"There is no correlation in the medical literature between immediate response and vaccine levels.	no
בחלק מהניסויים שבהם אנשים קיבלו גם חיסוני פלצבו, כרבע מהם פיתחו כאבי ראש.	In some of the trials where people also received placebo vaccines, about a quarter of them developed headaches.	no
זהו גם מרכיב נפשי - איך האדם תופס את החיסון, אם הוא מצפה שיהיו תופעות לוואי.	It's also a psychological component -- how a person reacts to the vaccine, if they expect side effects.	no
הרבה מהתופעות שקורות יכלו לקרות גם באופן רגיל, אבל מכיוון שהציבור חוסן הוא מייחס את התגובה לחיסון עצמו, וזו הטייה שרואים בנוגע לחיסונים באופן כללי - ייחוס של תופעות שקורות בסמוך לחיסון ומיוחסות אליו".	Many of the events that occurred could also have occurred normally, but because the public is immune, they attribute the response to the vaccine itself, and this is a misconception that we see about vaccines in general -- the attribution of events that occur near and attributable to the vaccine".	no
לפי ד"ר דביר, הסיבות לתופעות הרווחות המדווחות, כמו חולשה וכאבי ראש, אינן ידועות עדיין.	According to Dr. Deaver, the causes of the reported well-being symptoms, such as weakness and headaches, are not yet known.	no
בנוגע לדלקת שריר הלב (מיוקרדיטיס), הדעות חלוקות.	On the subject of myocarditis, opinions are divided.	no
"יש כל מיני תיאוריות בנושא, אבל יש לציין שהווירוס עצמו גורם לשיעורים גבוהים יותר של מיוקרדיטיס מאשר החיסון.	"There are all sorts of theories about it, but it's worth noting that the virus itself causes higher rates of mycorrhiza than the vaccine.	no
אחת התיאוריות היא שזו תגובה חזקה של מערכת החיסון".	One theory is that it's a strong immune response".	no
יש בכלל אפשרות להעריך חוזק של מערכת חיסון?	Is there even a way to gauge the strength of an immune system?	no
"כשחשפו סטודנטים לנגיף השפעת, הראו שאלה שלא ישנו או שהיו בלחץ גבוה יותר היו יותר פגיעים להידבקות.	"When students were exposed to the flu virus, it was shown that those who did not sleep or were under higher stress were more susceptible to infection.	no
מלבד זאת, יש פרמטרים מעבדתיים שבודקים את המערכת החיסונית או את המרכיבים שלה.	Besides, there are laboratory parameters that test the immune system or its components.	no
כשיש ירידה במערכת החיסון, רואים את זה מייד.	When there's a drop in the immune system, you can see it immediately.	no
אנשים חוטפים הרבה מחלות ויראליות או זיהומיות.	People get a lot of viral or infectious diseases.	no
זה לא שמישהו מסתובב עם מערכת חיסונית חלשה ולא מודע לזה.	It's not like someone's walking around with a weak immune system and not knowing it.	no
אלה אנשים שמגיעים לבירורים בגלל אירועים חוזרים ונשנים של מחלות זיהומיות, ומה שמשפיע על המערכת הם דברים בנאליים: לחץ, תזונה, שינה.	These are people who come to the clinic because of recurrent episodes of infectious disease, and what affects the system are mundane things: stress, diet, sleep.	no
אגב, אנחנו גם לא רוצים מערכת חיסון חזקה מדי, כי היא יכולה לגרום למחלות אוטואימוניות".	By the way, we also don't want a too strong immune system, because it can cause autoimmune diseases".	no
בקרוב חיסוני MRNA יופיעו בהקשרים נוספים, וזאת הודות לידע הרב שהצטבר לגביהם בתקופה האחרונה.	MRNA vaccines will soon appear in more contexts, thanks to the vast amount of information that has been accumulated about them in recent times.	no
"אין ספק שייסלל פתח לחיסונים אחרים מהסוג הזה.	"It will certainly pave the way for other such vaccines.	no
בודקים את הטכנולוגיה הזו להרבה מאוד שימושים מעבר לחיסונים - לטיפולים במחלות אונקולוגיות, למשל.	This technology is being tested for a lot of applications beyond vaccines -- for treating oncological diseases, for example.	no
היעילות שלהם היא שהחומר נשאר מעט מאוד זמן בגוף - נכנס, עושה את הפעולה שלו, ואז מתפרק.	Their effectiveness is that the substance stays in the body for a very short time -- enters, does its job, and then breaks down.	no
הטכנולוגיה הזו לא חדשה, אבל היא קיבלה בוסט רציני בעקבות הצורך המאוד גדול בחיסון מהיר.	This technology isn't new, but it's received a major boost in response to the overwhelming need for rapid vaccination.	no
עכשיו, למשל, אנחנו יודעים שמרווח של שלושה שבועות בין מנה למנה הוא קטן מדי, וחלק ממומחי החיסונים טוענים שיכול להיות שאחרי מנה שלישית לא נצטרך עוד חיסון בטווח הקרוב, כך שלא ברור אם אנחנו הולכים למצב של חיסון מדי חצי שנה או שהמנה השלישית תיתן מרווח גדול יותר".	Now, for example, we know that the three-week gap between doses is too small, and some vaccine experts say that after a third dose, we may not need another vaccine anytime soon, so it's not clear if we're going to get to a six-monthly vaccine or if a third dose will give a bigger gap".	no
אלפים נפגעו: מחדל פרטיות חמור בכביש 6	Serious privacy breach on Route 6	yes
לקוחות כביש 6?	Customers on Route 6?	yes
ייתכן שמידע פרטי שלכם, הכולל שם מלא, כתובות, סכומי תשלום ופרטים מלאים על הנסיעות שערכתם, נחשף •	Your personal information, including your full name, addresses, payment amounts and full details of the trips you have booked, may be revealed.	yes
לטענת הרשות להגנת הפרטיות, חברת דרך ארץ הפרה את חוק הגנת הפרטיות ותקנותיו.	According to the Privacy Authority, Via-Earth violated the Privacy Act and its regulations.	yes
לאחר דיווח שהעבירה חברת דרך ארץ, מפעילת כביש 6 בישראל, על אירוע אבטחה שהתרחש בחברה, החלה הרשות להגנת הפרטיות בהליך אכיפה.	Following a report that a company operating Israel's Route 6 road, Via Aretz, had reported a security incident at the company, the Privacy Authority began enforcement proceedings.	yes
במסגרת האירוע התגלו חולשות אבטחה באתר התשלומים שלה, אשר אפשרו חשיפה של מידע רב מתוך החשבוניות של לקוחות החבר, שהיו חשופות לעיני כל.	As part of the event, security vulnerabilities were discovered on its payment website, which allowed for the exposure of a large amount of information from the member's customers' accounts, which were exposed to the public.	yes
בין היתר, נחשפו חשבוניות התשלום של הלקוחות לאורך תקופה לא קצרה וחשבוניות אלו כללו מידע אישי, לרבות שם פרטי ומשפחה, סכומי תשלום, מיקום הרכב, תאריכי הנסיעות ובאילו שעות.	Among other things, customer bills were exposed over a relatively short period of time and these bills included personal information, including first and last name, payment amounts, vehicle location, travel dates and times.	yes
נוסף על כך, מכיוון שחברת דרך ארץ לא תיעדה כנדרש בחוק את הגישה למערכותיה, לא ניתן לדעת בצורה מדויקת במשך איזו תקופה יכלו גורמים שאינם מורשים לגשת למערכות החברה.	Furthermore, because a transit company did not log access to its systems as required by law, it is not possible to know exactly how long unauthorized parties could access the company's systems.	yes
במכתב ההפרה, שהעבירה הרשות להגנת הפרטיות לחברה, הדגישה הרשות כי רוב החברות והארגונים הגדולים במשק נדרשים לנקוט מדיניות אבטחת מידע דינמית, וכי עם התפתחותם של איומים וסיכונים, על הארגון חלה חובה לבחון בקפדנות את הסיכונים המתעדכנים ולפעול בהתאם לעדכון אמצעי האבטחה המקובלים בנסיבות העניין, בהתאם לאופי המאגר וטיבו.	In the breach letter, which the Privacy Authority sent to the company, the Authority emphasized that most companies and large organizations in the economy are required to adopt a dynamic information security policy, and that as threats and risks evolve, the organization has an obligation to carefully consider the updated risks and act according to the updated security measures accepted in the circumstances, depending on the nature and quality of the database.	yes
כתוצאה מכך, חלה על חברות וארגונים החובה לעדכן את מערכותיהם ולערוך סקרי סיכונים ומבדקי חדירות, כדי לבחון את הסיכונים המשתנים ולהיערך להם.	As a result, companies and organizations have an obligation to update their systems and conduct risk reviews and penetration tests to assess and prepare for changing risks.	yes
כמו כן, חלה חובה על חברות וארגונים להשתמש במנגנון תיעוד אוטומטי ויש לערוך הדרכות לעובדים, בהתאם להוראות תקנות הגנת הפרטיות (אבטחת מידע).	Companies and organizations are also required to use an automated recording mechanism and must provide training to employees, in accordance with the provisions of the Privacy (information security) regulations.	no
בהתאם לממצאי הפיקוח קבעה הרשות כי החברה הפרה את הוראות חוק הגנת הפרטיות ותקנותיו וכן דרשה מהחברה לבצע מספר פעולות מתקנות.	Based on the findings of the review, the Authority determined that the company had violated the provisions of the Privacy Protection Act and its regulations and required the company to take a number of corrective actions.	no
מחברת דרך ארץ, מפעילת כביש 6 נמסר: "הנושא טופל בהתאם לדרישות המחמירות ביותר"	"The matter has been handled in accordance with the strictest requirements".	no
אזהרת המסע לאיסטנבול: בשורה מפתיעה לישראלים מחברות התעופה הטורקיות	Warning for Istanbul: Surprising news for Israelis from Turkish Airlines	yes
חברות טורקיש איירליינס ופגסוס יאפשרו לישראלים להחליף יעד או מועד לטיסה שברשותם	Turkish Airlines and Pegasus will allow Israelis to change the destination or time of their flight.	yes
בשורה לישראלים שהזמינו כרטיסים לטורקיה לפני אזהרת המסע: חברות התעופה יאפשרו להחליף את מועדי הטיסה.	News for Israelis who booked tickets to Turkey before the travel warning: Airlines will allow flight times to be changed.	yes
תזכורת: מוקדם יותר השבוע המטה ללוחמה בטרור העלה לדרגה ארבע את חומרת אזהרת המסע לאיסטנבול.	REMEMBER: Earlier this week, the Counterterrorism Headquarters raised the travel alert to Istanbul to level four.	yes
זוהי הרמה הגבוהה ביותר ומשמעותה "רמת איום גבוהה: אין להגיע למדינה זו ובמקרה של שהייה יש לעזוב את המדינה בהקדם".	This is the highest level and means "high threat level: no entry to this country and in case of stay, leave the country immediately".	yes
טורקיש איירליינס ופגסוס מסרו כי הן יאפשרו לישראלים שהזמינו את טיסתם לפני צאת אזהרת המסע, כלומר לפני התאריך 13.6.22, להחליף את יעד או מועד הטיסה שברשותם.	Turkish Airlines and Pegasus have announced that they will allow Israelis who booked their flight before the travel warning, i.e. before June 13, 22nd, to change the destination or time of their flight.	yes
זאת באמצאות פנייה לחברת התעופה.	It's a way of addressing the airline.	yes
שר התיירות רזבוזוב אמר: "אזרחי ישראל לא צריכים לשלם מחיר כלכלי בגלל איומי טרור.	Tourism Minister Rezabozov said: "Israeli citizens should not have to pay an economic price because of terrorist threats.	yes
אני שמח שחברות תעופה גדולות כמו טורקיש אירליינס ופגסוס נענו לבקשתנו ואני מקווה שחברות נוספות יתנו מענה דומה לכל אזרחי ישראל שביטלו את החופשה בטורקיה בגלל אזהרת המסע החמורה".	I am glad that major airlines like Turkish Airlines and Pegasus have responded to our request and I hope that other airlines will respond similarly to all Israeli citizens who canceled their holidays in Turkey because of the severe travel warning".	yes
מתלבטים לאן לטוס בקיץ?	Wondering where to fly this summer?	yes
נטפליקס תציע סיורים בחינם באירופה בעקבות סדרות אהובות	Netflix will offer free tours of Europe following beloved series	yes
המטבעה המלכותית מ"בית הנייר", ארמון בקינגהאם מ"הכתר", או בכלל תעלת סן מרטין מ"אמילי בפריז" - ערי אירופה יחכו לכם •	The Royal Mint from the House of Paper, Buckingham Palace from the Crown, or even the St. Martin's Canal from Emily's in Paris - European cities await you.	yes
סיורים חינמיים בלוקיישנים של הסדרות הפופולריות ביותר של שירות הסטרימינג.	Free location tours of the streaming service's most popular shows.	yes
מחפשים חופשה לא שגרתית לקיץ הקרוב?	Looking for an unusual vacation next summer?	yes
ובכן, מה דעתכם לצאת לסיורים חינמיים בעקבות גיבורי הסדרות האהובות של נטפליקס?	Well, how about a free tour of the heroes of your favorite Netflix shows?	yes
כן, החברה החליטה לצאת מהמסך אל הרחוב, ולהציע לכם סיורים חינמיים בלונדון, פריז ומדריד בעקבות הסדרות האהובות.	Yes, the company has decided to step out onto the street, and offer you free tours of London, Paris and Madrid following your favorite shows.	yes
בפריז תוכלו לסייר בעקבות גיבורת הסדרה "אמילי בפריז", או בעקבות גיבורי הסדרה "לופן"; בלונדון תלכו יד ביד עם גיבורי וגיבורות הסדרות "הכתר" ו"ברידג'רטון"; ובמדריד תצאו בעקבות גיבורי "בית הנייר" ו"אליטה".	In Paris, you can follow the heroine of Emily in Paris or the heroines of Le Pen; in London, you can walk hand in hand with the heroines of The Crown and Bridgerton; and in Madrid, you can follow the heroines of The Paper House and Elite.	yes
הסיורים המוצעים יתרחשו בין 11 ל-17 ביולי בלונדון, בפריז ובמדריד, ויועברו על ידי מדריכים מקומיים בשיתוף חברת הסיורים SANDEMANs, בשפה האנגלית.	The proposed tours will take place between 11 and 17 July in London, Paris and Madrid, and will be delivered by local guides in partnership with the tour company SANDEMANs, in English.	yes
אז אם אתם בעניין ויש לכם "קראש" על אחת הסדרות האלו - ולרבים יש - תוכלו כעת ללכת באתרים ההיסטוריים ובערים האירופיות המיוחדות האלו, ולא תצטרכו ללכת לאיבוד או להתמצא לבד באתרים השונים.	So if you're interested and you have a crush on one of these series -- and many have -- you can now walk through these historic sites and these special European cities, and you don't have to get lost or find yourself alone in the different sites.	yes
כל מה שצריך זה להגיע בתאריכים האלו, עם ידע בסיסי באנגלית, ולצעוד עם המדריכים.	All you have to do is show up on these dates with a basic knowledge of English and walk with the guides.	no
לפרטים נוספים על הסיורים, וכן לכלל הסדרות של החברה שרצות כיום, ניתן להיכנס אל הלינק הבא: https://netflix.neweuropetours.eu/	For more information on the tours, as well as all of the company's current schedules, you can access the following link: https://netflix.neweuropetours.eu/	no
שמי סעודיה מתקרבים: החברות הישראליות מתכוננות לתגבר קווים למזרח	Saudi Arabia's name is coming up: Israeli companies are preparing to reinforce lines east	yes
הסיכום המתגבש לחופש טיסה מורחב מעל סעודיה: חברת התעופה נערכת להשקת טיסות חדשות למזרח הרחוק על חשבון יעדים באירופה	Summary: The airline is planning to launch new flights to the Far East at the expense of destinations in Europe	yes
בחברת התעופה הגדולה בישראל מתכננים שינויים משמעותיים לקראת הגעת נשיא ארה"ב ג'ו ביידן לישראל.	Israel's largest airline is planning significant changes ahead of US President Joe Biden's arrival in Israel.	yes
כפי שפרסמנו ב"ישראל היום", ההערכה היא שביידן יכריז על מתן אישור לאל על ולכל חברות התעופה הישראליות לטוס מעל סעודיה ליעדים נוספים מלבד איחוד האמירויות.	As we reported in Israel Today, the estimate is that Biden will announce the granting of permission to Al Ala and all Israeli airlines to fly over Saudi Arabia to destinations other than the UAE.	yes
המשמעות של ההסכם המתגבש היא שאל על תוכל לטוס בנתיבים קצרים יותר ליעדי המזרח הרחוק ולאוסטרליה.	What the deal means is that you can ask if you can fly shorter routes to destinations in the Far East and Australia.	yes
לשם כך, החברה תצטרך לבטל טיסות ליעדים פחות רווחיים, וזאת כדי לפנות מטוסים לטובת יעדים חדשים.	To do that, the company would have to cancel flights to less profitable destinations to divert planes to new destinations.	yes
היעדים שהטיסות אליהם יבוטלו החל מחודש נובמבר הקרוב הם ורשה, טורונטו ובריסל.	The destinations to which flights will be canceled starting next November are Warsaw, Toronto and Brussels.	yes
מדובר בשלושה יעדים שבהם יש אוכלוסייה יהודית לא קטנה, אך בשלב זה הם פחות רווחיים לחברה.	These are three destinations that have a sizeable Jewish population, but at this point they're less profitable to society.	yes
לעומת זאת, היעדים החדשים שבוחנים באל על הם טוקיו שביפן, הונג קונג, אוסטרליה ומקומות נוספים במזרח הרחוק.	By contrast, the new targets being examined by Al are Tokyo in Japan, Hong Kong, Australia and other places in the Far East.	yes
כך המהלך יתבצע: מטוסי הדרימליינר שטסים לקנדה ישוחררו לטובת טיסות ארוכות למזרח.	Here's how it's gonna work: Dreamliners flying to Canada will be released in favor of long-haul flights east.	yes
מטוסי הבואינג 737 שטסים לוורשה ולבריסל יועברו לשימוש לטיסות ליעדים כמו לונדון ופריז, שאליהם מפעילה אל על טיסות באמצעות מטוסי הדרימליינר.	Boeing 737s flying to Warsaw and Brussels will be transferred to destinations such as London and Paris, to which Al operates flights using Dreamliners.	no
כך שבעצם החברה תוכל לשחרר מטוסים גדולים כדי לטוס ליעדים נוספים במזרח.	So basically, the company can unleash larger planes to fly to more destinations in the east.	no
בה בעת, באל על מצפים לשיחות שיתקיימו בשבועות הקרובים בנוגע לאפשרות שחברות התעופה הישראליות יוכלו לחזור לטוס לטורקיה, לשם תוכל החברה להפעיל טיסות באמצעות מטוסי הבואינג 737 של חברת התעופה.	At the same time, Ba'al expects discussions to take place in the coming weeks regarding the possibility of Israeli airlines being able to return to flying to Turkey, where the company will be able to operate flights using the airline's Boeing 737 aircraft.	no
עושים סדר בבלאגן: כמה תשלמו עבור מזוודה בכל חברת תעופה?	How much would you pay for a suitcase on any airline?	yes
קבלו את המדריך המפורט למחירי הכבודה בחברות התעופה השונות •	Get a detailed guide to airline fare rates •	yes
מי מציעה 6 יורו לתוספת של עד 10 ק"ג, ואיפה המחיר אף פעם לא כולל מזוודות?	Who's offering 6 euros for an extra 10 kg, and where the price never includes luggage?	yes
