בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Breeders' Puppies Born in Iran	yes
ההחלטה על הסרת רוב ההגבלות על הטסים ובעיקר על המחוסנים מגיעה יום לפני הדיון בבג״ץ שהגישו התאחדות משרדי הנסיעות, המטה לשמיים פתוחים והתאחדות המלונות.	The decision to lift most restrictions on flights and especially on vaccinated people comes a day before the hearing in the High Court filed by the Association of Ministries of Travel, the Open Skies Headquarters and the Hotel Association.	no
בדיון שיתקיים מחר צפויים לדרוש העותרים להסיר את כל שאר המדינות האדומות מהרשימה, כאשר מי שמגבה אותם בחוות דעתו הוא פרופסור איתמר גרוטו.	At tomorrow's hearing, the petitioners are expected to demand that all other countries be removed from the red list, with Professor Itamar Grotto backing them in his opinion.	no
גם זרים יוכלו להיכנס.	Even strangers can come in.	no
ראש הממשלה ושרי החוץ, הבריאות, הפנים, התיירות והתחבורה סיכמו כי החל מיום ראשון 9.1.2022, תותר כניסת זרים מחוסנים/מחלימים (לפי הגדרת משרד הבריאות) ממדינות כתומות - זאת בכפוף למילוי טופס מקוון מבעוד מועד, ביצוע בדיקת PCR או אנטיגן לפני העלייה למטוס, ביצוע בדיקת PCR בכניסה לישראל ולאחריה כניסה לבידוד למשך 24 שעות או קבלת תשובה שלילית בבדיקה (המוקדם מביניהם).	The Prime Minister and the Ministers of Foreign Affairs, Health, Interior, Tourism and Transport agreed that starting Sunday 9.1.2022, vaccinated/recovered foreigners (as defined by the Ministry of Health) from orange countries will be allowed to enter - subject to the completion of an online form in advance, the performance of a PCR or antigen test before boarding the plane, the performance of a PCR test on entry to Israel and subsequent entry into quarantine for 24 hours or receiving a negative test result (whichever comes first).	no
זרים לא מחוסנים/ לא מחלימים (לפי הגדרת משרד הבריאות) לא יורשו להיכנס לישראל.	Foreigners who are not vaccinated/not cured (as defined by the Ministry of Health) will not be allowed to enter Israel.	no
זרים ממדינות אדומות, למעט מי שכניסתם אושרה על ידי ועדת החריגים, לא יורשו להיכנס לישראל.	Foreigners from red countries, except those whose entry has been approved by the Committee of Exceptions, will not be allowed into Israel.	no
מתווה הקבוצות לא יחודש בשלב זה.	The group outline will not be revised at this time.	no
ומה עם מדינות אדומות?	What about the red countries?	no
הוועדה לסיווג מדינות במשרד הבריאות ממליצה לממשלה הוועדה ממליצה להסיר מרשימת המדינות האדומות ולהעביר לרשימת הכתומות את המדינות: דרום אפריקה, הונגריה, ניגריה, ספרד, פורטוגל, צרפת, קנדה.	The Committee on Country Classification in the Ministry of Health recommends the government to remove from the red list of countries and move to the orange list of countries: South Africa, Hungary, Nigeria, Spain, Portugal, France, Canada.	no
המדינות שנותרות בשלב זה ברשימת המדינות האדומות: איחוד האמירויות, ארה"ב, אתיופיה, הממלכה המאוחדת, טנזניה, מקסיקו, שווייץ ותורכיה.	The countries that remain at this stage on the red list are the United Arab Emirates, the United States, Ethiopia, the United Kingdom, Tanzania, Mexico, Switzerland and Turkey.	no
אפשרות נוספת שבוחנים במשרד הבריאות היא לפטור מבידוד את המחוסנים שחוזרים ממדינות אדומות.	Another option being considered by the health department is to exempt vaccinated people returning from red states from quarantine.	no
כרגע לא ברור אם יש קשר בין ההודעות שקיבלו הבוקר החוזרים לישראל לבין ההנחיות שעשויות להתקבל במשרד הבריאות בנושא הזה.	It's unclear at this time if there's any connection between the messages received this morning by the returnees to Israel and the instructions that may be received at the Ministry of Health on this matter.	no
ממשרד הבריאות טרם התקבלה תגובה.	The Ministry of Health has yet to respond.	no
השמיים מתחילים להיפתח: משרד הבריאות משנה את ההגבלות על שערי הארץ	The skies are opening up: the Ministry of Health changes the restrictions on the Earth gates	yes
מחוסנים החוזרים ממדינות כתומות יחויבו בבידוד של 24 שעות •	Vaccinated returnees from orange countries will be required to undergo 24-hour isolation.	yes
המדינות ארה"ב, טורקיה, בריטניה ואיחוד האמירויות יוגדרו אדומות.	The United States, Turkey, the United Kingdom, and the United Arab Emirates will be marked in red.	yes
אחרי שבועות ארוכים שבהם היה קשה מאוד למצוא יעד שאליו ניתן לטוס בלי הגבלות, ולאחר שכל החוזרים מחו"ל חויבו בבידוד, לצד איסור כניסת תיירים לישראל - אתמול הוחלט לשנות את הנהלים ולהקל באופן משמעותי את ההגבלות על נתב"ג.	After weeks of finding it very difficult to fly to a destination without restrictions, and after all returnees from abroad were required to quarantine, along with a ban on tourists entering Israel - yesterday it was decided to change the procedures and significantly ease the restrictions on the NAFTA.	yes
במשרד הבריאות החליטו להמליץ לבטל את חובת הבידוד למשך שלושה ימים לישראלים שחוזרים ממדינות כתומות.	The Ministry of Health has decided to recommend lifting the three-day quarantine requirement for Israelis returning from orange countries.	yes
עד כה, כל מחוסן או מחלים לפי הגדרות משרד הבריאות שחזר ממדינה כתומה - חויב בבידוד למשך שלושה ימים, בכפוף לשתי בדיקות קורונה.	So far, anyone who's vaccinated or recovered as defined by the Ministry of Health who's returned from an orange country is required to self-isolate for three days, subject to two coronavirus tests.	yes
כעת, הבידוד שיצטרכו להיכנס אליו המחוסנים והמחלימים שחוזרים ממדינות כתומות הוא ל־24 שעות לכל היותר, או עד קבלת התוצאות של בדיקות הקורונה שמבוצעות לאחר הנחיתה בנתב"ג (המוקדם מביניהם).	Vaccinated and recovered people returning from orange countries will now be required to self-isolate for a maximum of 24 hours, or until they receive the results of post-landing coronavirus tests at the NBBG (whichever is earlier).	yes
מי שלא מוגדר מחוסן או מחלים יחויב בכל זאת להיכנס לשבעה ימי בידוד בכפוף לשתי בדיקות קורונה, או 14 ימים ללא הבדיקה השנייה, גם אם חזר ממדינה כתומה וגם אם חזר ממדינה אדומה.	Anyone not determined to be immunized or cured will still be required to enter a seven-day quarantine subject to two coronavirus tests, or 14 days without the second test, whether returning from an orange country or returning from a red country.	yes
מחוסן או מחלים שחזר ממדינה אדומה חייב גם הוא בבידוד מלא.	Immunized or recovered returnees from a red state must also be in full quarantine.	yes
רשימת המדינות האדומות העדכנית שעליה המליץ משרד הבריאות, ושעדיין צריכה לעבור את אישור הממשלה, כוללת את ארה"ב, טורקיה, טנזניה, אתיופיה, מקסיקו, בריטניה, שווייץ ואיחוד האמירויות.	The latest red list of countries recommended by the Ministry of Health, which still needs government approval, includes the United States, Turkey, Tanzania, Ethiopia, Mexico, the United Kingdom, Switzerland and the United Arab Emirates.	yes
בכל המדינות, למעט טורקיה, ממוצע החיוביים שנכנסו לארץ בשבועיים האחרונים הוא יותר מ־5% מסך כלל הנכנסים, מה שמכניס אותן באופן אוטומטי לרשימת המדינות האדומות.	In all countries except Turkey, the average positive inflow in the last two weeks is more than 5 percent of the total, which automatically puts them on the red list.	no
קצב העלייה בקרב החולים מטורקיה הוא מהיר, שיעור החוזרים החיוביים ממנה עומד על קצת יותר מ־4%, ולכן הוחלט להכניס גם אותה לרשימת המדינות האדומות.	Turkey's rapid rate of increase, with a positive rate of just over 4 percent, has been added to the red list.	no
המדינות הבולטות שיוסרו מרשימת המדינות האדומות: צרפת, ספרד, פורטוגל וקנדה.	The most prominent countries to be removed from the red list are France, Spain, Portugal and Canada.	no
בתוך כך, החל מ־9 בינואר, תיירים שמחוסנים לפי דרישות משרד הבריאות יוכלו להיכנס לישראל ללא צורך בבידוד, ובדומה לתנאים של ישראלים שחוזרים ממדינה כתומה.	Meanwhile, starting January 9, tourists who are vaccinated according to the Ministry of Health's requirements will be able to enter Israel without the need for quarantine, and under similar conditions to Israelis returning from an orange country.	no
גם במקרה הזה, ההחלטה כפופה לאישור הממשלה, שתדון בנושא בימים הקרובים.	Again, the decision is subject to government approval, which will be discussed in the coming days.	no
חשוב לציין שמעטים המקרים שבהם הממשלה לא מאשרת את המלצות משרד הבריאות בתחום זה.	It's important to note that there are very few instances where the government does not endorse the recommendations of the Ministry of Health in this area.	no
התיירנים נגד ההגבלות.	The tourists are against the restrictions.	no
התאחדות משרדי הנסיעות, המטה לשמיים פתוחים והתאחדות המלונות הגישו עתירה לבג"ץ כדי לבטל את ההגבלות על הטסים.	The union of travel agencies, the Open Skies HQ and the Hotel Association have petitioned the Supreme Court to lift the restrictions on the flights.	no
המדינה הסירה את רוב ההגבלות אתמול, אך כאמור השאירה שמונה מדינות משמעותיות ברשימת המדינות האדומות.	The country lifted most of the restrictions yesterday, but as noted, it left eight significant countries on the red list.	no
בדיון שיתקיים הבוקר בירושלים, צפויים העותרים לדרוש מהמדינה לבטל את רשימת המדינות האדומות.	At a hearing in Jerusalem this morning, the petitioners are expected to ask the country to remove the red list.	no
מי שיתמוך בעמדת העותרים הוא פרופ' איתמר גרוטו, שצפוי להיות נוכח בדיון.	The one who will support the petitioners' position is Professor Itamar Grotto, who is expected to be present at the hearing.	no
שר התיירות יואל רזבוזוב, שתמך בשבועות האחרונים בהקלות בכל מה שקשור להכנסת תיירים זרים לישראל, אמר אתמול: "ביטול הבידוד למחוסנים החוזרים מחו"ל וחזרת התיירות למחוסנים הם הדבר הנכון והצודק בתקופה זו.	Tourism Minister Yoel Razzabozov, who has supported in recent weeks the easing of restrictions on the entry of foreign tourists to Israel, said yesterday: "The lifting of the quarantine for vaccinated returnees from abroad and the return of tourism for vaccinated people is the right and just thing to do at this time.	no
אני מודה לחבריי לממשלה, שהבינו את מצוקת תעשיית התיירות והסכימו איתי שהנזק עולה על התועלת.	I thank my friends in government, who understand the plight of the tourism industry and agree with me that the harm outweighs the good.	no
החיסון הוא המענה הטוב ביותר למגיפה, וככזה - מגיע לציבור המחוסנים לנהל שגרת חיים מאפשרת לצד הקורונה".	The vaccine is the best response to the pandemic, and as such, the vaccinated public deserves to lead a life that allows them to live alongside the corona".	no
בהשקעה של 200 מיליון שקלים: הריזורט החדש שייפתח בסמוך לערד	With an investment of 200 million NIS, the new resort to be opened near Arad	yes
המדבר פורח: מלון יוקרה נוסף צפוי להיפתח בעוד כשלוש שנים •	Desert is flourishing: Another luxury hotel is expected to open in about three years	yes
מסעדות שף, בריכות פרטיות ו-110 חדרים הם רק חלק קטן ממה שיציע המלון •	Chef restaurants, private pools, and 110 rooms are just a small part of what the hotel has to offer.	yes
כל הפרטים בכתבה	All the details in the article	yes
חברת 7MINDS מבית פתאל וחברת הנדל"ן בנייני העיר הלבנה, רכשו במשותף מגרש המשתרע על שטל של כ-20 דונמים במדבר יהודה, בו יקימו ריזורט מפואר בהשקעה של כ-200 מיליון שקלים. המלון יוקם על אותו השטח שבו היה בנוי מלון מצדה שנהרס לפני כשנה.	7MINDS, a company from Beit Fathal, and the real estate company White City Buildings, have jointly purchased a plot of land covering about 20 acres in the Judean Desert, where they will establish a luxury resort with an investment of about NIS 200 million. The hotel will be built on the same land where a former hotel was built that was demolished about a year ago.	no
הריזורט ייפתח רק בעוד כשלוש שנים ויהיו בו 110 חדרים כאשר בחלק מהם יהיו בריכות פרטיות.	The resort won't open for another three years and will have 110 rooms, some of which will have private pools.	yes
במלון יהיו גם שלוש בריכות משותפות, ספא, מסעדות שף, מתחם בילוי, חדר כושר ועוד.	The hotel will also have three communal pools, a spa, chef restaurants, a leisure complex, a gym and more.	yes
מי שיהיה אחראי על הצד הקולינרי של המלון הוא השף רן שמואלי ממסעדת קלארו.	The one who will be in charge of the culinary side of the hotel is Chef Ren Shmuel from the Claro Restaurant.	yes
שף שמואלי יהיה זה שייבנה את התפריט שצפוי להיות בעל קונספט מדברי ייחודי לריזורט.	Chef Shmuel will be the one to build the menu that is expected to have a desert concept unique to the resort.	yes
ראש עיריית ערד, עו"ד ניסן בן חמו, בירך על הפרויקט: "ההחלטה להקים מלון חדש ויוקרתי בסמוך לערד נותנת את החותמת הרשמית לנסיקה המדהימה שעשתה ערד בתחום התיירות בשנים האחרונות.	The mayor of Arad, lawyer Nisan Ben Hammo, congratulated the project: "The decision to build a new luxury hotel near Arad gives the official seal to the amazing princess that Arad has made in the field of tourism in recent years.	yes
אני גאה בבחירה של היזמים ומשוכנע שתהיה זו הצלחה משותפת מאחר ולערד פוטנציאל תיירותי עצום".	I am proud of the choice of the entrepreneurs and convinced that it will be a joint success as we will exploit the enormous tourist potential".	no
אל על מציגה: טיסות לכל אירופה החל מ-78 דולר	All on display: flights to all of Europe starting at $78	yes
השמיים נפתחים וחברות התעופה יוצאות במבצעים שלא נראו הרבה זמן •	• The skies are opening up and airlines are taking on operations not seen in a long time	yes
ברצלונה, מדריד, פראג, בודפשט, ברלין, אמסטרדם ויעדים נוספים בפחות ב-100 דולר לטיסות הלוך וחזור	Barcelona, Madrid, Prague, Budapest, Berlin, Amsterdam and other destinations for less than $100 round trip	yes
.	I know.	no
חברת התעופה הגדולה בישראל מדווחת על עלייה בביקושים לטיסות לחו"ל מאז ההודעה אתמול על ההקלות המשמעותיות לטסים.	Israel's largest airline is reporting an increase in demand for international flights since yesterday's announcement of significant easing of restrictions on flights.	yes
בחברה החליטו לפרסם הבוקר מבצע מיוחד לרגל פתיחת השמיים והמחירים שהיא מציעה נחשבים לאטרקטיביים במיוחד.	The company has decided to announce a special promotion for the opening of the skies this morning and the prices it offers are considered particularly attractive.	yes
במסגרת המבצע החדש, מציעה החברה טיסות לברלין, בודפשט, ברצלונה, מדריד, פראג, אתונה, אמסטרדם, ליסבון ויעדים נוספים במחירים שמתחילים מכ-60 דולרים לטיסות הלוך וחזור.	Under the new operation, the company offers flights to Berlin, Budapest, Barcelona, Madrid, Prague, Athens, Amsterdam, Lisbon and other destinations at prices starting at $60 for round-trip flights.	yes
בעקבות ההקלה על הטסים, באל על מחזירים את הטיסות לשורה של יעדים וביניהם גם קנדה, איטליה, גרמניה, הונגריה, בלגיה ומדינות נוספות.	Following the relief on flights, the airline is resuming flights to a number of destinations including Canada, Italy, Germany, Hungary, Belgium and more.	yes
חשוב לזכור שמדובר במספר מוגבל של כרטיסים (כ-4,000) והמחיר לא כולל כבודה ובחירת מושב.	It's important to remember that this is a limited number of tickets (about 4,000) and the price does not include the honorarium and the choice of seat.	yes
המבצע תקף להזמנות שיבוצעו היום ומחר ולטיסות שימריאו עד 31 בינואר 2022.	The operation is valid for bookings made today and tomorrow and flights that take off until January 31, 2022.	yes
החל מהלילה בחצות, יוסרו צרפת, ספרד, פורטוגל ומדינות נוספות מרשימת המדינות האדומות.	As of midnight tonight, France, Spain, Portugal and more countries will be removed from the red list.	no
ארה"ב, איחוד האמירויות, טורקיה ועוד חמש מדינות עדיין נמצאות ברשימת המדינות האדומות וישנו איסור לטוס אליהן בלי אישור של ועדת חריגים.	The United States, the United Arab Emirates, Turkey and five other countries are still on the red list and there is a no-fly zone without an E.R.C. approval.	no
כמעט לכל אדם בימינו, יש טאבלט או סמארטפון "ישן" ששוכב בארון חסר שימוש.	Almost everyone these days has an old tablet or smartphone lying around in a useless closet.	yes
רק מכיוון שיצא דגם קצת יותר חדש ומשוכלל, כל מכשיר יכול להיות במקום נגן ספוטיפיי בחיבור הוטספוט.	Just because a slightly newer, more sophisticated model has come out, any device can be a Spotify player in the hotspot connection.	yes
מכשירים ישנים יכולים להיות מצלמות דרך, שלט-רחוק לתפעול מכשירים בבית ועוד המון שימושים.	Old devices can be traffic cameras, remote controls for home appliances and a whole host of other uses.	yes
לא חייבים להיות קרבנות של תרבות הצריכה ולא חייבים להיות תמיד בחזית הטכנולוגיה, עם עוד גאדג'ט חסר תועלת אמיתית.	We don't have to be victims of consumer culture and we don't have to be always at the forefront of technology, with another really useless gadget.	yes
אוסף נתונים בלי ניתוח.	Gathering data without analysis.	yes
חבל	That's too bad.	yes
היה יותר מעניין לשמוע כמה אנשים קיבלו קיצבאות בדואר ישראל, כמה שווה הנדל״ן של הסניפים (הממוקמים במרכזי הערים המובקשים), וכמה השכר של העובדים (מינימום).	It was more interesting to hear how many people received benefits at the Israel Post, how much the real estate of the branches (located in the desirable city centers) is worth, and how much the employees' wages (minimum).	yes
אסור להפריט את דואר ישראל	Israel Post is not to be privatized.	yes
השאלה זאת כמה חבילות הגיעו וכמה חולקו?	The question is how many packages have been delivered and how many have been distributed?	yes
כי כמה העלמים להם	Because how many blinds them	yes
מזמינים חבילות, והן נעלמות במרכז המיון במודיעין...	They order packages, and they disappear at the Intelligence Emergency Center...	yes
צריך להיות מס חבילה 5 שח שלא יזמינו סתם שטויות בשקל ויעמיסו על הדואר	There should be a package tax of 5 shekels, so they don't just order some stupid weight and charge it to the post office.	yes
זה בעיקר מעיד על יוקר המחייה בארץ.	It's mostly a reflection of the cost of living in the country.	yes
תודה למלך פאקים שגרם לזה שעדיף לקנות הכל מסין.	Thank you to the King of Packs for making it so much better to buy everything from China.	yes
אנחנו משק בית ומשתדלים לא להתקרב לדואר ומקווים שלא יגיעו מהם מכתבים והשנאה לדואר הובילה אותנו לוותר על כל דבר שייך לאפשרות של דואר.	We are a household and we try not to go near the post office and hope that no letters come from them and hating the post office has led us to give up everything that pertains to the possibility of a post office.	no
שבוע טוב.	Have a good week.	no
לפטר את כל עובדי הדואר , ולהתחיל להקים את הדואר מחדש - על ידי חברה פרטית.	Fire all the postal workers, and start rebuilding the post office by a private company.	no
מעסיקים מתנשאים וחלקם גזענים!	Big-headed employers and some racists!	yes
בטלפון מדברים אחרת וכשמגיעים לראיון מתגלה פרצופם האמיתי.	They talk differently on the phone, and when they come in for an interview, their true colors are revealed.	yes
לא פלא שלא מוצאים עובדים.	No wonder they can't find any workers.	yes
הם מחפשים עבדים.	They're looking for slaves.	yes
משרות של עבדים	Jobs of slaves	yes
כולם מוזמנים להכיר יהדות אמתית	All are invited to know true Judaism	yes
כל הכבוד	That's good.	yes
אשריך שזכית	The sandwich you won.	yes
מי שיעמוד בנסיונות ונמצא בקדושה יראה רק אור כל חייו	He who stands the test and is in holiness will see only light all his life	yes
פשוט מקסים	Just lovely.	yes
איזה קשקוש.	What a load of crap.	yes
שום תוניסאי לא נאלץ להסתיר את הזהות היהודית שלו.	No Tunisian has ever had to hide his Jewish identity.	yes
מבחינה היסטורית זה לא נכון.	Historically, that's not true.	yes
קוף שעיר ומכוער שהורד מעץ אהאווווווואה.	A hairy, ugly monkey that fell out of an ahwahwah tree.	yes
פסולת מחירייה	Waste from the industry	yes
כתבה יפה מאוד אח יקר	Very well written, dear brother.	no
קובי הלוואי ורבים היו כמוך	Kobe, I wish more people were like you.	no
אוהבת אותך	I love you.	no
אח שלי היקר🔥💪❤️	My dear brother	no
אין אנשים כמוך 😍	There are no people like you 😍	no
מלך.	The king.	no
זה אדם שרואה איזו מדינה מדהימה יש לנו.	This is a man who sees what an amazing country we have.	no
בעיות תמיד יהיו.	There will always be problems.	no
זה החיים.	That's life.	no
אחלה קובי!!!	That's great, Kobi!	no
דמות מעוררת הערכה !!	A figure to be admired!!	no
תצליח בכל מה שתעשה!!!	You will succeed in everything you do!!!	no
כל הכבוד שאתה על דרך המלך ♥	Good job you're on the King's Road ♥	no
אין כמו לשמור שבת.	Nothing like keeping the Sabbath.	no
יותר משאנחנו שומרים את השבת, השבת שומרת עלינו	More than we keep the Sabbath, the Sabbath keeps us	no
כתבו בגוגל: שמירת שבת או הלכות שבת	They Googled: Sabbath keeping or Sabbath going	no
ותלמדו איך לשמור את השבת, בהצלחה לכולם♥	And learn how to keep the Sabbath. Good luck to all.	no
איש מדהים וצנוע מאוד!	A very amazing and humble man!	no
מאחלת לו את כל ההצלחה שבעולם ושימשיך להיות קסם כמו שהוא ומוכשר ברמות.	I wish him all the luck in the world and that he continues to be the magic he is and skilled at the levels.	no
שאפו - קובי שמעוני הגדול - הידוע גם כסאבלימינל.	The Shappo - the great shamanic cow - also known as the subliminal.	no
כל הכבוד לך - בשיא הרצינות.	Good for you - in all seriousness.	no
מפליא שהיא עדיין מקבלת הצעות עבודה, במקצוע שלה זה לא מובן מאליו...	It's amazing she's still getting job offers. In her profession, it's not self-evident.	yes
אין כמו ללכת בדרך המלך♥	There's nothing like walking the King's path.	yes
משפחה מדהימה♥	Amazing family.	yes
לפני כמה שנים היה לי חלום לשלשל לאסתי זקהיים הפרה על הראש בוראס האדמוני שלה.	A few years ago I had a dream about a cow being herded to Lasse Zackheim's head in her red buras.	yes
יפייפיה ומוכשרת!!	Beautiful and talented!!	yes
איך זכית בשומר שבת	How did you win the Sabbath Guard?	yes
איש שכולו לרעייתו וילדיו.	A man who's all about his wife and kids.	yes
מוכשרת בטירוף.	Madly gifted.	yes
מחכה בצפייה רבה להופעות שלה	Looking forward to her performances.	yes
שלמות :-))	- I'm not a cop.	yes
אלופת עולם את !	You're the champion of the world!	yes
מוכשרת מדהימה ענבל בהצלחה	Amazingly talented. He's been a great success.	yes
מהממת שאת!!! :-)	You are amazing!!!	yes
מזל טוב	- Thank you.	yes
כל הכבוד!!!!!	Way to go!!!!!	yes
האהבה ניצחה!!!!	Love has won!!!!	yes
מזל טוב!!!!	Congratulations to you!	yes
לא לדואג זה לא להרבה זמן.	Not to worry is not for long.	yes
כרגע אין בה תועלת	It's no use at the moment.	yes
איך יודעים שזה אהבת אמת ...	How do you know it's true love...	yes
חזרו אחד לשני אחרי 20 שנה!!	Back together after 20 years!!	yes
והיא עוד מבוגרת ממנו	And she's even older than him.	yes
והוא חתיך עשיר ומפורסםיים	And he's hot, rich and famous.	yes
ובעוד כמה חודשים דיווח על הפרדת כוחות.	And a few months later, reports of a separation of powers.	no
ישנן נשים שיכולות לקום כל בוקר עם בעל חדש.	Some women can wake up every morning with a new husband.	no
חבל שלא השתתף באירוויזיון	It's a pity he didn't participate in the Eurovision.	yes
נקווה שאולי בשנה הבאה ישתתף בשיר מקורי שלו	Hopefully, maybe next year, he'll be performing his own original song.	yes
שם תבוא הפריצה הגדולה	That's where the big breakthrough will come.	yes
במקום המתרומם האגואיסט מהסופר שהביאו ורק בושות עשה	Instead of the selfish faggot writer they brought in and only shame did	yes
מאיפה גרינברג התימוני הזה חחחחח!	Where did that little Greenberg come from?	yes
מי זה?!	Who is that?!	yes
למה הוא מופיע באתר חדשות??	Why is he on a news site?	yes
פה זה לא גיא פינס ולא הצiאתון של נונסנס מוזס	This is not Guy Pence or Nonsense Moses's Cython.	yes
מריח כמו יח"צ משומן ומוזמן במסווה כתבה של כל2בתב חצר בשקל שמסתתר מאחורי שם מערכת העיתון.	Smells like a fat, seasoned reporter disguised as a two-bit-a-yard-a-weight article hiding behind the name of the newspaper system.	yes
הבדיחה על חשבוננו הקוראים, הקהל השבוי שנמלט מציפורני מוזס הארסי ומחפש אלטרנטיבה	The joke is on our readers, the captive audience who escaped the clutches of Moses Poison and are looking for an alternative to the one that was created by the ancient Egyptians.	yes
השיר לא לטעמי וגם הקליפ סתמי	The song is not to my taste and the video is silent	no
מקסים מקסים מקסים	Charming charming charming	no
כמה כישרון!!!!	What a talent!!!!	no
רוצים ממנו עוד ועוד	They want more and more of him.	no
תמיר גרינברג זמר גדול ברמה של כוכב בינלאומי.	Tamir Greenberg is a great singer on the level of an international star.	no
מדינת ישראל קטנה עליו.	The State of Israel is small for him.	no
הוא עוד יפרוץ לחו"ל בגדול.	He's about to go overseas in a big way.	no
אופטומטריסטית קלינית?!	Clinical optometrist? What are you doing?	yes
נו באמת ה"תואר" שלה לא תופס בארץ המוצא....	Come on, her "title" doesn't catch on in the home country...	yes
מי המגזר הבא בתור?	Who's the next sector?	yes
ביביסטים?	- Baby wipes?	yes
ומיפוי קרנית העיקר לא הזכירו.	And the corneal mapping didn't mention the core.	yes
אלק אופטומטריסטית קלינית.	Alec is a clinical optometrist.	yes
קלינית מטעם עצמה.	Clinically on its own.	yes
איפה יהיו סירנות?	Where are the sirens?	yes
מלחמה בפתח מכינים אותנו	War at the Gate Preparing Us	yes
ומה יעשו הלומי הקרב איזו אכזריות	And what will the battle-hardened do? What cruelty!	yes
בנט לפיד וגנץ בהנחית ביידן: תתכוננו חברים תתכוננו....	Bennet Lapid and Gantz at the bottom.	yes
כי הם אלופי האלופים!!	Because they are the champions of champions!	yes
חחחחחח אבל אל דאגה, גם כשמנהלים דפוקים וטיפשים חמורי גרם, יש לנו יכולות מעל ומעבר למצופה!!	But don't worry, even as shitty and stupid GM managers, we have capabilities beyond expectations!	yes
נכון, וחוץ מזה הממדי''ם שלנו כמו רובם דפוקים.	Right, and besides, our mediums are just as fucked up as most of them.	yes
פיקוד העורף משחק במשחקי "כאילו", כי בזמן אמן - שלא נדע...	The rearguard is playing a game of "as if", because in the meantime, who knows?	yes
למה רק בת"א	Why only the B.T.A.?	yes
כל השאר בררה ימנים.	All the rest of you, take a right.	yes
חרף הדיבורים היפים - לא שמענו על מעצרם של חאקרים, הענדתם לדין מיצויי דין איתם	Despite all the fancy talk -- we haven't heard of any arrests of hackers, you've prosecuted ex-convicts with them.	yes
ובארבע מערכות הבחירות האחרונות וועדת הבחירות כן היתה ערוכה למתקפה?	And in the last four elections, the Election Commission was prepared to attack?	yes
למה לא לפרט למשל...	Why not specify, for example...	yes
כמה נסיונות חדירה ושיבוש נעשו וכמה הצליחו לחדור לתוך וועדת הבחירות ב 3 השנים האחרונות.	Several attempts at infiltration and disruption have been made and some have succeeded in penetrating the Election Commission in the last three years.	yes
לא מגיע לנו קצת נתונים, עובדות ופרופורציה?	Don't we deserve some data, facts and proportion?	yes
אחת ההחתמות היותר הזויות של הפועל ירושלים.	One of the more conspicuous signatures of the Jerusalem operative.	yes
בהצלחה עוז.	Good luck with Oz.	yes
תמיד תהיה חלק מהשושלת של מכבי...	You will always be part of the Maccabi dynasty...	yes
תודה מכל הלב!	Thank you very much!	yes
רואי שחורות כולכם, רק טענות ומענות, בטטות כורסא קלסיות.	All you black seers, just claims and answers, classic couch potatoes.	yes
בולדווין פיגוע חברתי בחדר ההלבשה, כך אומרים שחקנים ששיחקו איתו גם ביוון וגם בספרד!	Baldwin is a social terrorist in the locker room, according to players who have played with him in both Greece and Spain!	yes
הולינס נפצע ולא שיחק במשחקים האחרונים של הכוכב האדום...	Hollins was injured and missed the last Red Star games...	yes
גם היליארד נפצע ולא שיחק חצי שנה אחרונה...	Hilliard got hurt, too, and he hasn't played the last six months.	yes
הימורים כבדים.	The stakes are high.	yes
חסר למכבי כוכב	Missing from the Stargate	yes
על מה באמת עם בראון	What's really with Brown?	yes
אם לא יחתום מכבי עלולה להיות בבעייה	If he doesn't sign off on me, he could be in trouble.	yes
מה עם לורנזו בראון?	What about Lorenzo Brown?	yes
חחחחחח איך מתאים כמו כפפה ליד לוזר לקבוצה של......	How does a loser fit like a glove into a group of...	yes
אדם אחלה שחקן המאמן חייב לתת לו יותר דקות לא לוותר עליו הפועל צריכה סגל גדול אסור אסור לוותר עליו	A great man. A player. A coach.	yes
לא.	- I know.	yes
להביא את אנדריאן בנקס.	Bring in Adrian Banks.	yes
צריך עוד ישראלים חזקים בסגל.	We need more strong Israelis on staff.	yes
כאלה שממש משחקים	The kind that actually play.	yes
הרבה יותר מתאים מווילבקין למכבי שנבנת.	Much more suitable than Willowkin for the machetes you built.	yes
רואים שיש אנשי מקצוע במכבי- בלאט וקטש.	You can see there are professionals in the Blat and Katz prisons.	yes
אולי יכולות אישיות עדיין לר משתווה לסקוטי אך שחקן קבוצתי ,ובעיקר אינטלגנציית משחק גבוהים בהרבה	Maybe personality still matches Scottish but team player and mainly game intelligence much higher.	yes
כל כך עצוב שמכבי תל אביב מסתמכת על זרים והישראלים מחממים את הספסל	So sad that the Tel Aviv MKV relies on foreigners and the Israelis are warming the bench.	yes
דרך אגב מכבי נוסדה עבור ספורטאים יהודים ולא אוסף של זרים ולכן לא יצליחו עם כל הכוכבים שגרדו מרחבי העולם	By the way, Maccabi was founded for Jewish athletes, not a collection of foreigners, so they wouldn't have succeeded with all the stars scratching from around the world.	yes
את מי זה מעניין???	Who cares about that?	yes
